step,time_ps,temp_K,press_bar,pxx_bar,pyy_bar,pzz_bar,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,pe_eV_atom
50000,50,300.349850900823,526.432159691288,-876.792547250144,-742.514513371222,3198.60353969523,102.425364765673,59.135311919307,93.8146643330063,568231.284062943,4.47742210716638,-4.83348325664792
51000,51,300.230907972311,444.472605287259,-888.886139922971,-935.360306731486,3157.66426251623,102.427616067289,59.1366117089013,93.8167263720911,568268.753925882,4.47712687996708,-4.83374547668384
52000,52,302.659863791163,123.715194618687,-1181.16508204288,-1286.00087311095,2838.31153900989,102.439166649732,59.1432804407839,93.8273059196203,568461.023615366,4.47561258829319,-4.83343782416693
53000,53,299.991310889623,-71.9758241960747,-1359.19185805277,-1463.17291846886,2606.4373039334,102.446142113802,59.147307726842,93.8336949700448,568577.157402614,4.47469842944356,-4.8333467772674
54000,54,297.951834886211,-108.96608028677,-1476.32286222872,-1431.33195709753,2580.75657846594,102.446853839701,59.1477186419813,93.8343468625368,568589.007743433,4.47460516928424,-4.83335056602957
55000,55,298.410132069826,-223.437095502522,-1598.14060772444,-1599.07553688528,2526.90485810216,102.452128004934,59.1507636826984,93.8391776389965,568676.828500811,4.47391415604923,-4.8331446424265
56000,56,298.624132046055,-271.881549814176,-1654.68672109637,-1629.57686896137,2468.61894061521,102.451650287817,59.1504878725919,93.8387400826238,568668.873603418,4.47397673997058,-4.8334475626446
57000,57,300.433948148359,-73.2743335307948,-1374.2944288586,-1454.90448705677,2609.37591532298,102.445873885686,59.1471528652666,93.8334492913417,568572.691407773,4.47473357706919,-4.83337267934783
58000,58,300.507593038623,175.325211514444,-1114.43150484973,-1254.88868820533,2895.29582759839,102.43675577235,59.1418885200779,93.8250977199914,568420.888842239,4.47592860007136,-4.8335294730193
59000,59,299.621782535526,190.534061990008,-1116.18482150116,-1233.77279919771,2921.5598066689,102.437876562185,59.1425356083909,93.8261242872133,568439.546812807,4.47578168604232,-4.83326373920161
60000,60,304.357023696696,6.72486947274553,-1341.24683634115,-1348.69116355533,2710.11260831472,102.44341651346,59.1457341007508,93.831198505601,568531.777278988,4.47505559922022,-4.83352363411346
61000,61,300.415505938542,51.8929380611724,-1319.69915824162,-1310.58098491439,2785.95895733952,102.440402559564,59.1439939936576,93.8284379289241,568481.598998799,4.47545059985721,-4.83362621136384
62000,62,300.731913063324,85.8087863172966,-1358.63943281805,-1246.4706185292,2862.53641029913,102.440912452941,59.1442883807362,93.8289049565608,568490.087830485,4.47538377134485,-4.83332179420641
63000,63,297.721928627828,-88.504080573556,-1528.60522902863,-1364.44101752936,2627.53400483732,102.445489161082,59.1469307444136,93.8330969097846,568566.285788684,4.47478399060854,-4.83344525216654
64000,64,302.002370278388,-367.559260638229,-1703.99552655243,-1652.02574276214,2253.34348739988,102.458042685632,59.1541785251924,93.8445950840369,568775.325314251,4.47313939267895,-4.83321035961755
65000,65,299.952992354883,-578.501083633565,-1896.58102990311,-1933.66030312226,2094.73808212467,102.460397063378,59.1555378258179,93.8467515338432,568814.535786316,4.47283104277549,-4.83360587935804
66000,66,299.294197623615,-288.368049001254,-1597.09003337815,-1698.16343910635,2430.14932548074,102.451590671346,59.1504534530068,93.8386854779936,568667.88088115,4.47398455018192,-4.83340725826544
67000,67,300.212496750793,-61.7015674024546,-1438.87853598141,-1420.71131323504,2674.48514700908,102.442872227998,59.1454198573934,93.8306999771555,568522.715439374,4.47512692835977,-4.83371014699054
68000,68,299.433145174473,68.4057602143281,-1335.34910331315,-1278.47549667823,2819.04188063437,102.440988243393,59.1443321383743,93.8289743754572,568491.349615986,4.47537383808138,-4.83337208802515
69000,69,300.837660115218,167.557906258086,-1264.1593848385,-1152.84947845605,2919.68258206881,102.43749802253,59.1423170584194,93.8257775706475,568433.245155976,4.47583130460436,-4.83354953546898
70000,70,300.466440927517,584.876462221394,-746.864597262595,-813.086957984325,3314.5809419111,102.423309639117,59.134125391437,93.8127819769258,568197.080705984,4.47769163137161,-4.83369913485257
71000,71,300.830965754199,317.572089742653,-1072.66806555833,-1001.2522779004,3026.63661268669,102.433827769903,59.1401980370775,93.822415868993,568372.147836083,4.47631243531783,-4.83331550227792
72000,72,299.213547497446,-43.8748699235467,-1331.52990039971,-1424.59693818864,2624.5022288177,102.443717050858,59.1459076160998,93.8314737774072,568536.78098451,4.47501621415111,-4.83353630638707
73000,73,298.169053930441,-126.254490074494,-1374.17203294409,-1504.66472310142,2500.07328582203,102.4471272121,59.1478764736105,93.8345972530513,568593.559477826,4.4745693489449,-4.83343131833018
74000,74,299.960548549845,-271.882172500482,-1583.88050337759,-1647.91155079418,2416.14553667032,102.450596283148,59.1498793427136,93.8377746860693,568651.322686094,4.47411482528356,-4.83354519093382
75000,75,299.441152935254,-393.056612079927,-1716.14440312501,-1698.57302730802,2235.54759419325,102.454025394653,59.1518591411643,93.8409155188656,568708.424376031,4.47366559768899,-4.83372884914643
76000,76,301.274443061019,-405.047310892688,-1760.65311217161,-1733.81380813636,2279.32498762991,102.454910636085,59.1523702355436,93.8417263397791,568723.166069438,4.47354963721722,-4.83366805984437
77000,77,300.471402173523,91.6479276983831,-1208.44498320181,-1285.81436729327,2769.20313359023,102.441560499497,59.1446625305904,93.8294985231078,568500.876792596,4.4752988378858,-4.83334286493667
78000,78,298.729798523681,279.65241515149,-1088.38627279906,-1031.91108190167,2959.2546001552,102.434667695331,59.1406829682499,93.8231851835299,568386.129373566,4.47620232402752,-4.83347748531024
79000,79,302.013920057321,316.869986751074,-1119.36609359288,-976.233412502185,3046.20946634828,102.434848399781,59.140787298013,93.8233506965103,568389.137439684,4.47617863477722,-4.83329371425102
80000,80,300.364842661538,319.216284203825,-1089.54588158083,-947.688317380894,2994.8830515732,102.432684509238,59.1395379752252,93.8213687200201,568353.117298576,4.47646231860183,-4.83371905870384
81000,81,300.099077249368,155.879050170474,-1151.23929194051,-1205.76391757441,2824.64036002635,102.439302076216,59.1433586293012,93.8274299610629,568463.278166486,4.47559483781086,-4.83332696367893
82000,82,298.987982392817,-329.154423984593,-1649.95873268277,-1681.45773326301,2343.95319399201,102.449669391628,59.1493442016453,93.8369257165105,568635.888710919,4.47423626217932,-4.83405801829661
83000,83,299.034289913556,-496.779682862309,-1793.32857185592,-1866.0913227229,2169.08084599189,102.45984750895,59.1552205404204,93.8462481793804,568805.383190384,4.47290301469491,-4.83334559617587
