step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
0,0.0,-1.41353475187549e-15,0.264751346838756,-0.14156266176798,-0.139569970370677,299.677467801668,-4.83350970467356,153.666264929514,88.719259422424,140.747842066746,1918837.45965965,4.47495598909223,0.27891838538691593
100,0.1,0.0009999999999984,0.568804706210623,0.131264219492019,0.133773461776722,301.316520786657,-4.83371382895286,153.541067514132,88.6442256012827,140.607094224679,1913736.93745743,4.48688271315214,0.5121365520179837
200,0.2,0.0019999999999987,0.567421220083055,-0.100045548801706,-0.0966707587975518,299.603469464335,-4.83369046555077,153.728377808115,88.7553082938041,140.466346382613,1916552.26699584,4.48029168317856,0.6524234513720145
300,0.3,0.0029999999999986,0.813232124568858,0.0813174029197943,0.0744182618095736,299.678568119056,-4.83373340648422,153.661405643574,88.7189568160382,140.325598540546,1913013.92620701,4.48857850147678,0.7469801092758545
400,0.4,0.0039999999999985,0.867175957409648,-0.0526180492478219,-0.0507073572924816,299.236207223784,-4.83355749183257,153.799827294983,88.7914509976702,140.184850698479,1914379.71746011,4.48537617896977,0.9172431079687439
500,0.5,0.0049999999999984,1.06313143476542,0.0471960099329741,0.0462862946145208,300.184367650685,-4.83353336003719,153.783153665762,88.785267716082,140.044102856412,1912117.15180232,4.490683624748,1.0243832266293165
600,0.6,0.0059999999999987,1.15086051627339,-0.035373882674297,-0.0364480029424316,300.198995106215,-4.8334284181703,153.880344510487,88.8443709783439,139.903355014346,1912675.06546494,4.48937372439223,1.182879709654181
700,0.7,0.0069999999999986,1.33218758982532,0.0349982053652828,0.0288841269218614,300.058488643171,-4.83332019070517,153.884455348335,88.8486047597916,139.762607172279,1910892.94702454,4.49356056055828,1.3056517996639478
800,0.8,0.0079999999999985,1.43537978720375,-0.0201030909455643,-0.0211904432785811,300.045219955185,-4.83328010767223,153.967074138486,88.8939458946317,139.621859330212,1910968.19280554,4.49338362329941,1.4563201240954524
900,0.9,0.0089999999999988,1.59828845874057,0.0158785402563642,0.0211632760142901,298.738478070125,-4.83324493189549,153.991077102055,88.905826681457,139.481111488145,1909594.61255499,4.49661573495417,1.5821080036165103
1000,1.0,0.0099999999999986,1.71446102436448,-0.0126445892788654,-0.0109501692578563,298.583579996124,-4.83313978877363,154.056067065954,88.9471144552124,139.340363646079,1909359.07502624,4.4971704351003,1.7266832487224235
1100,1.1,0.0109999999999986,1.86621688045155,0.0132810905331747,0.0133475386114028,298.579164301555,-4.83280945790956,154.091308815092,88.9690293923628,139.199615804012,1908336.83520552,4.49957943681034,1.856899904674807
1200,1.2,0.0119999999999985,1.99328280586852,-0.0050926518311091,-0.0053777219804308,300.332899442852,-4.832706953749,154.153254581909,89.003249009241,139.058867961945,1907907.20664529,4.50059266629464,2.0010522658349346
1300,1.3,0.0129999999999988,2.14408363021081,0.0035809290893402,0.0105564208529173,299.842740918483,-4.83239978714322,154.201334220896,89.0255268457962,138.918120119878,1907047.81256495,4.50262081822138,2.1381921537015667
1400,1.4,0.0139999999999986,2.27640048346568,-0.0049227095968278,0.0039254328801385,300.378673601396,-4.83231202941561,154.25288900328,89.0583479917946,138.777372277812,1906455.18799948,4.50402046491785,2.2797443140866562
1500,1.5,0.0149999999999985,2.41674838822824,0.0035763062498021,-0.0009872842704544,299.48141739172,-4.83220719982197,154.293099461693,89.0894113221514,138.636624435745,1905682.59748295,4.50584645813522,2.4152795950729384
1600,1.6,0.0159999999999984,2.55263100984889,0.0059552885849039,0.0035034408104874,299.18139650388,-4.83199065897662,154.348669465014,89.1143129343497,138.495876593678,1904965.8588748,4.50754177152045,2.5525124954937946
1700,1.7,0.0169999999999987,2.68868793382323,0.0010038490899452,0.0001705720561475,299.56401162002,-4.8316811539108,154.411258866712,89.14208229447,138.355128751611,1904394.86233566,4.50889327209549,2.690551605460553
1800,1.8,0.0179999999999986,2.83094141312299,0.0058746419601164,0.0051241927195161,299.620790786276,-4.83130262961246,154.453851775402,89.1746946432362,138.214380909545,1903678.50813365,4.51058996858499,2.827397264058061
1900,1.9,0.0189999999999985,2.96367086495115,-0.0021293575430675,-0.0044843426930599,300.823656290971,-4.83109151284374,154.503178622606,89.2117005451455,138.073633067478,1903136.72077363,4.51187404902153,2.9688882914608064
2000,2.0,0.0199999999999988,3.11250411226821,0.0107557457106268,0.0059882063090978,299.545479502185,-4.83066264884739,154.552762332446,89.2358130214165,137.932885225411,1902320.89049507,4.51380901355914,3.1062789359716847
2100,2.1,0.0209999999999987,3.2421990020887,-0.0048930755458657,0.0006406604175475,298.282371197309,-4.83044036753631,154.618513764005,89.2639974977924,137.792137383345,1901788.70224091,4.51507213818266,3.249195760455905
2200,2.2,0.0219999999999986,3.39014043821996,0.0088509683736065,0.0102962653862112,298.499794924195,-4.83022521656739,154.662543723243,89.2889219749091,137.651389541278,1900917.75920607,4.51714080770372,3.3816669294231136
2300,2.3,0.0229999999999984,3.51208447685196,-0.0087419010221708,-0.0040511968570551,300.38887873441,-4.82997287250149,154.722273464027,89.3288525482933,137.510641699211,1900557.01408917,4.51799820712749,3.520723243736855
2400,2.4,0.0239999999999987,3.66264477680457,0.0103706828000238,0.0011938355288458,299.418207299854,-4.82933406753705,154.765011189203,89.3592676272121,137.369893857144,1899782.78008074,4.51983946387468,3.655841141567765
2500,2.5,0.0249999999999986,3.79564938324057,-0.0065835758144424,0.0041908925120893,300.292479827986,-4.82900306717433,154.836620746022,89.3851896915909,137.229146015078,1899265.20210005,4.52107118726969,3.801609708168493
2600,2.6,0.0259999999999985,3.94430208575215,0.0075816805480031,0.0080918591035457,298.969837789116,-4.82848214491046,154.881520376361,89.415207065375,137.088398173011,1898504.76582885,4.52288207896579,3.9382907163777237
2700,2.7,0.0269999999999988,4.07226954977242,-0.0015540782362803,-0.0051646906556788,300.056734496215,-4.82825753566938,154.929250121965,89.4558086720876,136.947650330944,1898001.49497065,4.52408135870897,4.076746049174256
2800,2.8,0.0279999999999987,4.21335108343615,0.0055574196385935,0.0011524375977732,299.844994921953,-4.82781676595992,154.984718589947,89.4831107356493,136.806902488877,1897308.54314224,4.52573368376738,4.2107492026292554
2900,2.9,0.0289999999999986,4.34912016852338,-0.0015307167647858,0.0032035453562554,299.378838437314,-4.82732920766278,155.049802782662,89.511996611634,136.666154646811,1896764.60801644,4.52703152827071,4.3515615713430424
3000,3.0,0.0299999999999985,4.49150556289461,0.0067166648660643,0.0020608655837681,299.229910740755,-4.82684928851763,155.095474097953,89.5473232146668,136.525406804744,1896117.35030118,4.52857687359622,4.4887602566492
3100,3.1,0.0309999999999988,4.62395299151431,0.0059590160966203,-0.0041044197023049,299.896636014843,-4.82646683484597,155.151655340863,89.5811744432001,136.384658962677,1895565.0273288,4.52989639416314,4.625790699866157
3200,3.2,0.0319999999999987,4.7619367522101,-0.0005886326256995,0.0086376685707421,299.693707922812,-4.82600280575079,155.216350915297,89.6064620246696,136.24391112061,1894933.18584642,4.53140683077066,4.761200995485449
3300,3.3,0.0329999999999985,4.89949121203808,0.0054554087477918,-0.0025689244961244,299.241716957458,-4.82549931145653,155.2671881901,89.6431699840637,136.103163278544,1894371.33320566,4.53275080322716,4.90034920495032
3400,3.4,0.0339999999999988,5.03923456650865,-0.0005747276735877,0.00587039631221,300.881497191287,-4.82514525824204,155.318001107269,89.6762232934659,135.962415436477,1893729.62756609,4.53428676259055,5.037796352190018
3500,3.5,0.0349999999999987,5.17377509382277,0.0015870626519071,-0.005328474253915,301.002917964448,-4.82445055170331,155.379567986049,89.7128605935557,135.82166759441,1893292.31828169,4.53533408406346,5.175302504222658
3600,3.6,0.0359999999999986,5.31250023923214,-0.003880531561914,0.008971505239639,301.787785124444,-4.82387615820282,155.448518156095,89.7370426861227,135.680919752343,1892679.67523788,4.53680213009064,5.310917854265333
3700,3.7,0.0369999999999985,5.4469776599898,0.0026117513024888,-0.0053321165436278,300.859302147352,-4.82327071656002,155.496793460308,89.7786257912189,135.540171910277,1892179.89396423,4.53800043515355,5.448968681752102
3800,3.8,0.0379999999999988,5.58723617129491,0.009823720830453,0.0010710988129613,299.340493148651,-4.82273266021593,155.547120678038,89.8107176784534,135.39942406821,1891502.67678835,4.53962518138128,5.585057475969838
3900,3.9,0.0389999999999987,5.72007600111981,-0.008053807377884,0.0097832521757884,299.016292869215,-4.82207137894292,155.619494489604,89.839846820377,135.258676226143,1891028.7676164,4.54076285313302,5.7215063946123275
4000,4.0,0.0399999999999986,5.85771548956271,0.0098702849742171,-0.0054205470158383,300.240861720293,-4.8214687513284,155.662788065794,89.8823949021951,135.117928384076,1890481.44205957,4.54207747886895,5.8577149116591585
4100,4.1,0.0409999999999985,5.99568505264248,-0.0018885757933135,0.0061103414442591,300.044238292563,-4.82070278643707,155.734397820691,89.9102222242996,134.97718054201,1889965.91200407,4.54331643108492,5.99526712985073
4200,4.2,0.0419999999999988,6.12952184858612,-8.58590169722748e-05,0.0060855308667174,300.426873485044,-4.82005803758811,155.802664313374,89.9398876756469,134.836432699943,1889445.9592809,4.54456669693082,6.128122478399287
4300,4.3,0.0429999999999986,6.25963880152441,0.0025016593901562,-0.0003914030391942,300.122192843724,-4.81947290254497,155.848961631763,89.9839478291175,134.695684857876,1888959.46582149,4.54573713071402,6.263176996089577
4400,4.4,0.0439999999999985,6.40277482110122,0.0091186198046643,0.002648730977037,298.320208479811,-4.81871832761409,155.901446260422,90.0186595088216,134.554937015809,1888349.26168963,4.54720604731531,6.399170380709206
4500,4.5,0.0449999999999988,6.53438988036685,0.0019413052326315,0.0024400040487054,299.437035642414,-4.81818438141213,155.975201806721,90.0461624049365,134.414189173743,1887843.0331435,4.54842538889502,6.536756399810437
4600,4.6,0.0459999999999987,6.67199575694513,-0.0017253692109207,0.0076716029073945,299.603208409246,-4.81734062413159,156.037074624011,90.0817011694595,134.273441331676,1887358.92173878,4.54959206926455,6.670869804107396
