frame,timestep,strain,n_sample,case,label,soap_distance_from_ref
0,0,0.0,1000,108k_1e10,"Ti 108k, 1e10 s^-1",1.4901161193847656e-08
1,1000,0.01,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.004610898258578797
2,2000,0.0200000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.008443522363685266
3,3000,0.0299999999999998,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.012834154241368202
4,4000,0.0399999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.01695822463070063
5,5000,0.05,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.021034033274459598
6,6000,0.06,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.025434777068472976
7,7000,0.0700000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.030079152365968472
8,8000,0.0799999999999998,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.03513176593741286
9,9000,0.0899999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.03996898939035594
10,10000,0.1,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.045199182670652864
11,10500,0.1049999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.04854040816564031
12,11000,0.1100000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.05083085181071103
13,11500,0.1149999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.05410693312573235
14,12000,0.12,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.057003479967125174
15,12200,0.1219999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.05821245674901587
16,12400,0.124,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.05988274919774119
17,12600,0.1259999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06020994757720587
18,12800,0.128,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06223198093336038
19,13000,0.1299999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06309773237197633
20,13200,0.132,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06474395784899212
21,13400,0.1340000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06585141488498583
22,13600,0.1359999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06661153846027563
23,13800,0.138,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06900302797289219
24,14000,0.1399999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06986467810404182
25,14200,0.142,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07078687650139805
26,14400,0.1439999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07214566981777487
27,14600,0.146,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07370320153542878
28,14800,0.1479999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07510659621826915
29,15000,0.15,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07641554880446953
30,15200,0.1520000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07760305706803988
31,15400,0.1539999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07879937204646856
32,15600,0.156,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08074246934690339
33,15800,0.1579999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08158755604167578
34,16000,0.1600000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08307465340233984
35,16200,0.1619999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08444253759721039
36,16400,0.164,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08558970149417883
37,16600,0.1659999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08676422949251188
38,16800,0.168,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.0880026502395034
39,17000,0.1700000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.0877468817370953
40,17200,0.1719999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.08474707297606343
41,17400,0.174,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07993080928489595
42,17600,0.1759999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.07161239218790631
43,17800,0.1780000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.06187512745282041
44,18000,0.18,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.05463473172114567
45,19000,0.1899999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.030642285885404744
46,20000,0.2,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.026117614200187423
47,21000,0.21,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.025057428181396092
48,22000,0.22,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.024606579093293435
49,23000,0.2300000000000001,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.025102047934526944
50,24000,0.2399999999999999,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.023503937905504636
51,25000,0.25,1000,108k_1e10,"Ti 108k, 1e10 s^-1",0.02390564186492151
