step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
1800,1.8,0.0017999999999984,0.601893231358385,0.0060342082598749,-0.0044134693664632,300.223353291454,-4.83354554422658,153.66023994441,88.7171218564354,140.491332356284,1915219.17967561,4.48341018788922,0.6034089239846027
1900,1.9,0.0018999999999983,0.612268450721045,-0.006151356006543,0.0029438063436365,300.400146278242,-4.83356714487534,153.669367031619,88.7193828930787,140.477257889007,1915189.87000721,4.48347880106851,0.6170086477782809
2000,2.0,0.0019999999999982,0.629306234452325,0.0045359139329364,9.29758620935576e-05,299.860746293475,-4.83366120917342,153.665745206027,88.7226827397627,140.463183421731,1915024.07709404,4.48386695755199,0.6305561892426698
2100,2.1,0.0020999999999985,0.641842010361734,-0.0040133692359567,0.0051104483165244,298.867619983483,-4.83375587111673,153.67652317196,88.7216028821143,140.449108954454,1914943.188025,4.48405636046806,0.644057808571866
2200,2.2,0.0021999999999984,0.657114789608208,0.0067465856533249,0.0001086478228938,299.867305116844,-4.83380052539331,153.676551029627,88.7246409428719,140.435034487177,1914817.20394404,4.48435138587225,0.6575197659599666
2300,2.3,0.0022999999999983,0.668037645915708,-0.0095676586911836,0.0034889880382898,299.792325384419,-4.83364425068302,153.691673706577,88.7275800003652,140.420960019901,1914877.13979584,4.48421102521176,0.6709483216010685
2400,2.4,0.0023999999999982,0.687774644890287,0.0105978126541199,0.0016708484301984,300.057264878311,-4.83356734880913,153.683741588458,88.7325556451108,140.406885552624,1914693.75834311,4.48464050440578,0.6843497356892685
2500,2.5,0.0024999999999982,0.692680147402894,-0.01073906396062,0.0020017308101641,300.217787286972,-4.83355810716282,153.704896145712,88.7338101158822,140.392811085347,1914792.42969326,4.48440940597097,0.6977302684185827
2600,2.6,0.0025999999999985,0.715066417675557,0.0113156612020847,0.00419186499875,300.185136363648,-4.8336544857775,153.694653868479,88.734380917001,140.37873661807,1914485.20456069,4.4851290371653,0.7095691696969685
2700,2.7,0.0026999999999984,0.717794556781091,-0.0138087340820114,-0.0063124080522845,299.900298681662,-4.83389142078515,153.710272481721,88.7399618894721,140.364662150794,1914608.20169979,4.48484090613171,0.7253014512878676
2800,2.8,0.0027999999999983,0.743191201648187,0.0129467118000562,0.0065521622295936,298.794127024282,-4.83368741449213,153.696417827685,88.7419560798359,140.350587683517,1914286.68433912,4.48559416541254,0.7372750022765732
2900,2.9,0.0028999999999982,0.739409969217718,-0.0148745448347739,-0.0119729692519809,300.855766333491,-4.83374928076144,153.719775488334,88.7511307226984,140.33651321624,1914583.52827929,4.48489870270412,0.7519483414094787
3000,3.0,0.0029999999999985,0.772632462694739,0.0135641938034109,0.0138258862886196,300.170464167528,-4.83357753718495,153.711884328004,88.7433778192323,140.322438748963,1914126.01421564,4.48597068240415,0.7644638918787927
3100,3.1,0.0030999999999984,0.769866488099444,-0.0148968594298518,-0.014157132883191,300.663294607414,-4.83361652816417,153.735047736002,88.7549191373374,140.308364281687,1914471.39323619,4.48516139365426,0.7790118146758354
3200,3.2,0.0031999999999984,0.804953426476748,0.0148386960248618,0.0188622314317936,299.508718867132,-4.83357725365003,153.717448051494,88.7469956097307,140.29428981441,1913889.32660425,4.48652545517539,0.7919396578057682
3300,3.3,0.0032999999999983,0.793807980674153,-0.0143340389307675,-0.023683988748034,299.239127916838,-4.83377643610989,153.73580312604,88.765344665251,140.280215347133,1914321.55121223,4.48551246615858,0.8063317852343561
3400,3.4,0.0033999999999982,0.832914013147365,0.0165815449353162,0.0250752839599349,299.025757077461,-4.83371741607988,153.728348047592,88.7472654741866,140.266140879857,1913646.82428904,4.48709399937924,0.8192608451924166
3500,3.5,0.0034999999999985,0.820174437289521,-0.0224704947661396,-0.0253481636680449,299.388641782475,-4.8335861825703,153.758240532172,88.7701611050665,140.25206641258,1914320.62036638,4.48551464725646,0.833524815592047
3600,3.6,0.0035999999999984,0.864226816234407,0.0315096534885931,0.0210918279982619,300.222627695706,-4.83361458637247,153.716536121064,88.7622383705486,140.237991945303,1913438.55026344,4.4875824107423,0.8466615867312309
