frame,timestep,strain,other_fraction,fcc_fraction,hcp_fraction,bcc_fraction,mean_ptm_rmsd
0,0,0.0,0.0,0.0,1.0,0.0,0.03851585057378723
1,10000,0.01000000000000008,0.0,0.0,1.0,0.0,0.04049359254841274
2,20000,0.02000000000000016,0.0,0.0,1.0,0.0,0.04345077690296045
3,30000,0.02999999999999984,0.0,0.0,1.0,0.0,0.04705856292886628
4,40000,0.03999999999999992,0.0,0.0,1.0,0.0,0.051107462911775856
5,50000,0.05,0.0,0.0,1.0,0.0,0.05580787044688072
6,60000,0.06000000000000008,0.0,0.0,1.0,0.0,0.0608243422313251
7,70000,0.07000000000000016,0.0,0.0,1.0,0.0,0.06629461863015465
8,80000,0.07999999999999984,0.0,0.0,1.0,0.0,0.0719685044487797
9,90000,0.08999999999999991,0.0,0.0,1.0,0.0,0.0779407588904919
10,100000,0.1,0.0,0.0,1.0,0.0,0.08411934876430874
11,105000,0.10500000000000004,0.0,0.0,1.0,0.0,0.08734958016985066
12,110000,0.11000000000000008,0.0,0.0,1.0,0.0,0.09058249659523429
13,115000,0.11500000000000002,0.0,0.0,1.0,0.0,0.09383624813362157
14,120000,0.12000000000000006,0.0,0.0,1.0,0.0,0.09716374057431383
15,122000,0.12200000000000001,0.0,0.0,1.0,0.0,0.09852913892402287
16,124000,0.12399999999999997,0.0,0.0,1.0,0.0,0.0998764938896484
17,126000,0.12600000000000003,0.0,0.0,1.0,0.0,0.10120142671465508
18,128000,0.12799999999999997,0.0,0.0,1.0,0.0,0.10263385675343344
19,130000,0.12999999999999995,0.0,0.0,1.0,0.0,0.10394308975022509
20,132000,0.1320000000000001,0.0,0.0,1.0,0.0,0.10538449968390308
21,134000,0.13399999999999995,0.0,0.0,1.0,0.0,0.10677733883068566
22,136000,0.1359999999999999,0.0,0.0,1.0,0.0,0.10811295301966671
23,138000,0.13800000000000007,0.0,0.0,1.0,0.0,0.10961960407130159
24,140000,0.13999999999999993,5.555555555555556e-05,0.0,0.9999444444444444,0.0,0.11099592528969499
25,142000,0.14200000000000007,5.555555555555556e-05,0.0,0.9999444444444444,0.0,0.11239785354308383
26,144000,0.14400000000000004,0.00012962962962962963,0.0,0.9998703703703704,0.0,0.11379773809288855
27,146000,0.14599999999999988,0.0003148148148148148,0.0,0.9996851851851852,0.0,0.11530189440875192
28,148000,0.14800000000000005,0.0007962962962962962,0.0,0.9992037037037037,0.0,0.11681498720065103
29,150000,0.15,0.0014444444444444444,0.0,0.9985555555555555,0.0,0.11829884946183614
30,152000,0.15199999999999997,0.00325,0.0,0.99675,0.0,0.11976366502970756
31,154000,0.15400000000000003,0.010037037037037037,0.0,0.9899629629629629,0.0,0.12149873382494278
32,156000,0.15599999999999997,0.07375925925925926,6.481481481481482e-05,0.9261574074074074,1.8518518518518518e-05,0.1235458030232521
33,158000,0.15799999999999992,0.31075925925925924,0.00437037037037037,0.67675,0.00812037037037037,0.12607849651795036
34,160000,0.1600000000000001,0.3237037037037037,0.020527777777777777,0.621287037037037,0.03448148148148148,0.11478305550257718
35,162000,0.16199999999999992,0.29785185185185187,0.02623148148148148,0.6358703703703704,0.040046296296296295,0.10953832096979561
36,164000,0.1640000000000001,0.27997222222222223,0.03009259259259259,0.6468981481481482,0.04303703703703704,0.10648548757831254
37,166000,0.16600000000000004,0.2658611111111111,0.03111111111111111,0.6578518518518518,0.045175925925925925,0.10415510464900925
38,168000,0.1679999999999999,0.25666666666666665,0.03191666666666667,0.6648518518518518,0.046564814814814816,0.10270130948461678
39,170000,0.17000000000000007,0.25066666666666665,0.030666666666666665,0.6718518518518518,0.046814814814814816,0.10158296847388489
40,172000,0.17200000000000001,0.24485185185185185,0.030462962962962963,0.6789351851851851,0.04575,0.1004877604856681
41,174000,0.17399999999999996,0.23775925925925925,0.030768518518518518,0.6858055555555556,0.04566666666666667,0.09946451684957901
42,176000,0.17600000000000002,0.23476851851851852,0.031101851851851853,0.6892407407407407,0.04488888888888889,0.09866913692159598
43,178000,0.178,0.231,0.030694444444444444,0.6939351851851852,0.04437037037037037,0.09817116999964765
44,180000,0.18000000000000005,0.22330555555555556,0.031407407407407405,0.7022314814814815,0.043055555555555555,0.09697185771323537
45,190000,0.18999999999999992,0.21207407407407408,0.031175925925925926,0.7193240740740741,0.037425925925925925,0.09516040102727735
46,200000,0.2,0.20155555555555554,0.029824074074074076,0.7336759259259259,0.034944444444444445,0.0937145355860123
47,210000,0.21000000000000008,0.18875925925925927,0.027962962962962964,0.7520462962962963,0.03123148148148148,0.09126240620115375
48,220000,0.21999999999999997,0.17933333333333334,0.026601851851851852,0.7654537037037037,0.02861111111111111,0.0904163241396121
49,230000,0.23000000000000004,0.1753425925925926,0.02752777777777778,0.7703703703703704,0.02675925925925926,0.08999744795828139
50,240000,0.2399999999999999,0.17205555555555554,0.026351851851851852,0.7764074074074074,0.025185185185185185,0.09052179479437679
51,250000,0.25,0.1696111111111111,0.02625925925925926,0.7781944444444444,0.025935185185185186,0.09044404962074931
