step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
0,0,-1.61550466509817e-15,0.280827395696267,-0.136276184196756,-0.133633994164248,301.270029392463,-4.83347004418283,153.662804738523,88.7172616802227,140.744672767265,1918707.83990381,4.47525829812054
100,0.1,9.99999999982966e-05,0.445803359456524,0.128032941228366,0.116266498037689,301.927276606643,-4.83371374481024,153.50149135358,88.6276244640912,140.730598299989,1914565.55875375,4.48494079658877
200,0.2,0.000199999999998209,0.318944814816718,-0.106910156583386,-0.0849787974556992,299.681201374736,-4.83358683392235,153.659878437647,88.7021198553235,140.716523832712,1917960.16257475,4.47700288554028
300,0.3,0.000299999999998525,0.436166387437391,0.0815282699394128,0.0695704746424895,299.93136156186,-4.83364282504419,153.540219098209,88.6515912982827,140.702449365435,1915183.3142592,4.48349414819325
400,0.4,0.000399999999998437,0.367994395218766,-0.0604930595530745,-0.056454920040016,298.951210952229,-4.83357081449176,153.630590229049,88.7027668498588,140.688374898158,1917224.97995931,4.47871964529729
500,0.5,0.000499999999998349,0.453396331172824,0.0529660149764458,0.0492956702931982,300.077059301779,-4.83370030023496,153.565396555689,88.664001749397,140.674300430882,1915382.25004889,4.483028482685
600,0.6,0.000599999999998261,0.412879597120841,-0.0452642299713705,-0.0395223282898141,300.314742654867,-4.83362301805608,153.634381030105,88.6976216238016,140.660225963605,1916777.48955916,4.47976524608151
700,0.7,0.000699999999998577,0.473665910582492,0.039642238440707,0.0312335238092666,301.110863039364,-4.83357851363961,153.590324405001,88.6735458865946,140.646151496328,1915516.00987637,4.48271543434014
800,0.8,0.000799999999998489,0.444616550192786,-0.0328333143345628,-0.027507699853062,300.52671103899,-4.83355065257151,153.640847824907,88.6978010020499,140.632077029051,1916478.44476266,4.48046426280671
900,0.9,0.000899999999998401,0.494242575418271,0.0284436665252613,0.0221328954293117,299.698259875605,-4.83368996706131,153.603920904115,88.6808496138281,140.618002561775,1915459.93106435,4.48284667454629
1000,1,0.000999999999998313,0.480109205902028,-0.0240287555777775,-0.0227626436666073,300.797611947738,-4.8338637256061,153.637110432802,88.6997585216866,140.603928094498,1916090.51850829,4.48137136489949
1100,1.1,0.00109999999999823,0.516375648975974,0.0193026435387316,0.0138027329209158,299.955527647397,-4.8337034229999,153.615878108047,88.6915763544889,140.589853627221,1915457.23558679,4.4828529829161
1200,1.2,0.00119999999999854,0.509504945096018,-0.0134559749894276,-0.0125106954954489,300.247428390936,-4.83360782620937,153.644562013863,88.7033217556027,140.575779159944,1915876.79208251,4.48187128613052
