step,time_ps,temp_K,press_bar,pxx_bar,pyy_bar,pzz_bar,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,pe_eV_atom
0,0,300,706.041548651306,-406.074364087885,-413.993709655879,2938.19271969768,153.286496469846,88.5,140.4,1904646.03323642,4.50829867196253,-4.87263950503365
1000,1,271.353647150367,-12.9419745189501,-1371.45281993349,-1282.87581470466,2615.50271108131,153.612205345771,88.6880481071933,140.698327166665,1916813.03876194,4.47968216438291,-4.83791075705847
2000,2,298.422376581077,152.643218147608,-1236.63613635348,-1193.9765984205,2888.5423892168,153.664871391364,88.7184548627926,140.746565680633,1918785.25661513,4.47507773608082,-4.8327475211343
3000,3,297.112539781719,32.4692540813137,-1324.54750784335,-1296.90178662372,2718.85705671101,153.660047747115,88.7156699304873,140.742147550739,1918604.56638615,4.47549918969089,-4.83364799346666
4000,4,301.545868059285,-42.7011269595279,-1365.28015422676,-1416.00316206565,2653.17993541383,153.667126756249,88.7197569983162,140.748631441397,1918869.7448466,4.47488069748316,-4.83320806456785
5000,5,297.702267210277,31.6575888225936,-1316.63137233404,-1353.58979119381,2765.19392999563,153.659859468341,88.715561227686,140.741975100194,1918597.51382932,4.47551564114159,-4.83361438172581
6000,6,300.518236884182,61.765041044464,-1323.30411559481,-1266.89324808015,2775.49248680836,153.663197406187,88.7174883869999,140.745032424124,1918722.54905438,4.47522399026911,-4.83319595585117
7000,7,299.821177691902,94.9074675266041,-1259.99969908117,-1219.735443425,2764.45754508598,153.6564433834,88.7135889501254,140.738846198843,1918469.55693037,4.47581414632275,-4.83380842697153
8000,8,301.380984046497,322.849298855595,-1030.95486632823,-1034.73010521845,3034.23286811346,153.648446741925,88.7089720870181,140.731521819404,1918170.04756055,4.47651301464054,-4.83349821996858
9000,9,299.626834797644,282.580914453019,-1098.25737259914,-1065.20786231091,3011.20797826911,153.649485530527,88.7095718318973,140.732473279076,1918208.95299751,4.47642222124985,-4.83355368606809
10000,10,300.400587689737,30.3632096546039,-1309.31720311707,-1349.14127779447,2749.54810987534,153.662433450083,88.7170473167387,140.744332692316,1918693.93167807,4.4752907383663,-4.833534787312
11000,11,301.403591919936,-67.6661583889006,-1438.71178581263,-1413.38357242821,2649.09688307413,153.665786570656,88.7189832418046,140.747403922589,1918819.53985066,4.47499778059732,-4.83366115739754
12000,12,300.069091855765,-80.2886166333119,-1439.78977188716,-1443.48612317775,2642.41004516498,153.666439743079,88.719360351079,140.748002184083,1918844.00838131,4.47494071675061,-4.83358619696821
13000,13,301.649558767206,-103.157840477275,-1463.77528292241,-1463.99510603177,2618.29686752235,153.668414306219,88.7205003656396,140.749810749555,1918917.97887238,4.47476821664067,-4.83356544100956
14000,14,299.376006591971,-90.3865432682279,-1410.68671538019,-1472.72170835405,2612.24879392955,153.666743464907,88.7195357049578,140.748280372609,1918855.38619344,4.47491418268497,-4.83365160545584
15000,15,300.427625166401,-99.1726325543266,-1459.2895546551,-1484.0617994084,2645.83345640052,153.669162241809,88.7209321864532,140.750495807661,1918945.99830714,4.47470287844136,-4.83332496289307
16000,16,298.471900131369,184.658601370965,-1164.52987696704,-1211.51744971429,2930.02313079422,153.653572623509,88.7119315161308,140.736216778132,1918362.03076802,4.47606502030315,-4.83353417426965
17000,17,301.047709124265,218.922790313981,-1118.65927594213,-1203.03215745484,2978.45980433891,153.654577412146,88.7125116311213,140.73713709615,1918399.66531714,4.47597721029573,-4.83340100331505
18000,18,299.290692178528,126.063870279523,-1221.38825473184,-1251.84100750007,2851.42087307047,153.656993820612,88.7139067452009,140.739350361876,1918490.17437014,4.47576604608757,-4.83358499637396
19000,19,300.415792641477,77.4895868627253,-1281.83412565981,-1273.36713791169,2787.67002415967,153.660850769863,88.7161335558898,140.742883064935,1918634.64625122,4.47542902395507,-4.83343198966615
20000,20,299.722678442409,30.491583941653,-1353.95945839441,-1329.3763416324,2774.81055185177,153.661584201271,88.7165570027101,140.743554838195,1918662.11961775,4.47536494018508,-4.83359941101818
21000,21,299.268094924446,-58.8846480119489,-1399.45054891461,-1438.76168847008,2661.55829334884,153.667161542813,88.7197770823501,140.748663303524,1918871.04800566,4.47487765846637,-4.83339851941663
22000,22,300.657291446513,-263.867807949645,-1610.14133154411,-1623.65156185216,2442.18946954733,153.676031831086,88.7248983456722,140.756787883981,1919203.36211336,4.47410282396707,-4.83355581362012
23000,23,299.54812942903,-355.982231454751,-1697.478182494,-1730.31003422783,2359.84152235758,153.680962582979,88.7277451166061,140.761304117191,1919388.1030739,4.47367219190681,-4.83346867187547
24000,24,300.13390960728,-147.980439215334,-1521.95588385979,-1517.57808320943,2595.59264942322,153.670288552368,88.7215824621603,140.751527431494,1918988.19307716,4.47460448854008,-4.83348499308693
25000,25,299.913420038818,-7.92495713873002,-1373.27112830566,-1352.96595740656,2702.46221429602,153.662826777427,88.7172744043893,140.744692953403,1918708.66546907,4.47525637254538,-4.83363111695889
26000,26,301.560098910864,21.4878105819697,-1318.83698201322,-1356.1802194651,2739.48063322422,153.663032430673,88.7173931383457,140.744881317781,1918716.3691382,4.4752384043376,-4.83350954440896
27000,27,299.315886377455,93.7402936848601,-1279.20791348397,-1265.66910225652,2826.09789679507,153.657866728225,88.7144107186466,140.740149885852,1918522.87071838,4.47568976802619,-4.83357003899684
