frame,timestep,strain,other_fraction,fcc_fraction,hcp_fraction,bcc_fraction,mean_ptm_rmsd
0,0,0.0,0.0,0.0,1.0,0.0,0.03845469230735337
1,10000,0.010000000000000057,0.0,0.0,1.0,0.0,0.040204880971736474
2,20000,0.020000000000000115,0.0,0.0,1.0,0.0,0.0433536031245355
3,30000,0.03000000000000002,0.0,0.0,1.0,0.0,0.04704222560848718
4,40000,0.04000000000000008,0.0,0.0,1.0,0.0,0.051180647225225105
5,50000,0.050000000000000135,0.0,0.0,1.0,0.0,0.056059166532414564
6,60000,0.06000000000000004,0.0,0.0,1.0,0.0,0.060662768123892416
7,70000,0.0700000000000001,0.0,0.0,1.0,0.0,0.06655934104706399
8,80000,0.08000000000000015,0.0,0.0,1.0,0.0,0.07209615967923325
9,90000,0.09000000000000007,0.0,0.0,1.0,0.0,0.07814538402960036
10,100000,0.10000000000000012,0.0,0.0,1.0,0.0,0.08425531108723865
11,105000,0.10500000000000008,0.0,0.0,1.0,0.0,0.08728633211439966
12,110000,0.11000000000000003,0.0,0.0,1.0,0.0,0.09055231028867348
13,115000,0.11500000000000013,0.0,0.0,1.0,0.0,0.09391227348616121
14,120000,0.12000000000000008,0.0,0.0,1.0,0.0,0.09714692596260231
15,122000,0.12200000000000001,0.0,0.0,1.0,0.0,0.09850451251557721
16,124000,0.12400000000000008,0.0,0.0,1.0,0.0,0.09974173113276288
17,126000,0.12600000000000014,0.0,0.0,1.0,0.0,0.10136186389703825
18,128000,0.12800000000000006,0.0,0.0,1.0,0.0,0.10252280474523877
19,130000,0.13000000000000014,0.0,0.0,1.0,0.0,0.10444198349729067
20,132000,0.13200000000000006,0.0,0.0,1.0,0.0,0.10528109189204372
21,134000,0.13400000000000015,0.0,0.0,1.0,0.0,0.1068020453654735
22,136000,0.13600000000000007,0.0,0.0,1.0,0.0,0.10836733110923116
23,138000,0.13800000000000012,0.0,0.0,1.0,0.0,0.10949628927839124
24,140000,0.14000000000000004,0.0,0.0,1.0,0.0,0.11093118349993923
25,142000,0.14200000000000013,0.0,0.0,1.0,0.0,0.11262850917103728
26,144000,0.14400000000000004,0.0005,0.0,0.9995,0.0,0.11375214038749819
27,146000,0.1460000000000001,0.0,0.0,1.0,0.0,0.11533408840083144
28,148000,0.1480000000000002,0.0,0.0,1.0,0.0,0.11718896572363673
29,150000,0.1500000000000001,0.0005,0.0,0.9995,0.0,0.11846933865600597
30,152000,0.15200000000000002,0.005,0.0,0.995,0.0,0.1198354520025521
31,154000,0.1540000000000001,0.0195,0.0,0.9805,0.0,0.12201210028785309
32,156000,0.15600000000000017,0.0425,0.0,0.9575,0.0,0.12363973132842407
33,158000,0.15800000000000008,0.3105,0.0,0.6895,0.0,0.1306429277776853
34,160000,0.16,0.38075,0.0155,0.576,0.02775,0.12529402887837646
35,162000,0.1620000000000001,0.2935,0.027,0.639,0.0405,0.10898788346836595
36,164000,0.16400000000000015,0.24475,0.025,0.67625,0.054,0.10130529487396087
37,166000,0.16600000000000006,0.222,0.03125,0.6985,0.04825,0.09818439088222938
38,168000,0.16800000000000015,0.20225,0.03225,0.70875,0.05675,0.09572061008507268
39,170000,0.17000000000000007,0.18375,0.02925,0.72575,0.06125,0.09204996547248599
40,172000,0.17200000000000015,0.1805,0.028,0.73125,0.06025,0.09183248675564566
41,174000,0.17400000000000007,0.162,0.0305,0.74825,0.05925,0.08882074115966117
42,176000,0.176,0.14625,0.03325,0.75325,0.06725,0.087935981907665
43,178000,0.1780000000000002,0.13825,0.03875,0.748,0.075,0.08763018273641614
44,180000,0.18000000000000013,0.13,0.0325,0.752,0.0855,0.08800360341568718
45,190000,0.19000000000000003,0.12975,0.02975,0.751,0.0895,0.08913055189951595
46,200000,0.2000000000000001,0.1435,0.03425,0.7455,0.07675,0.09477945413182513
47,210000,0.21000000000000016,0.17475,0.05275,0.73825,0.03425,0.09373194806637843
48,220000,0.22000000000000006,0.18325,0.04425,0.7315,0.041,0.09485097261190555
49,230000,0.23000000000000012,0.174,0.0225,0.779,0.0245,0.08939221173492815
50,240000,0.24000000000000016,0.139,0.01275,0.835,0.01325,0.08267578896756547
51,250000,0.25000000000000006,0.1435,0.009,0.84425,0.00325,0.08574762994971344
