step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
0,0.0,4.54440998915162e-16,0.320131472904338,-0.0844027994690336,-0.0680984136548196,302.554025780221,-4.83378415289755,51.2118828062434,29.5671943238945,46.906599808752,71025.5836658708,4.47763182985177,0.3807715594407046
100,0.1,0.0001000000000005,0.437479411093893,0.0686152545962251,0.0634292846926807,302.825229460149,-4.83397089484641,51.1798502436342,29.5502369152902,46.9019091487711,70933.3545815772,4.48345374375824,0.3947796079626973
200,0.2,0.0002000000000005,0.376025255062686,-0.0613465401792656,-0.0810755428869157,295.733425685968,-4.83389173630412,51.2092800055627,29.5666044828807,46.8972184887902,71006.3529096813,4.47884451354129,0.4087444948686168
300,0.3,0.0003000000000005,0.49720303827753,0.0888306527562354,0.0970634935143406,288.432923972545,-4.83380483146649,51.1745707680849,29.5476678441568,46.8925278288093,70905.6857873523,4.4852032756565,0.42266889072693553
400,0.4,0.0004000000000004,0.391724103845163,-0.0641947236683877,-0.0975931452208062,297.278772988403,-4.83420487934706,51.2063914575923,29.5728186069417,46.8878371688285,71003.0642077106,4.47905196352873,0.43655546610612606
500,0.5,0.0005000000000005,0.490235494068801,0.0564369991561006,0.102253808518788,293.272029525513,-4.83287889329752,51.193588968793,29.5520114954459,46.8831465088476,70928.2713422311,4.48377506088673,0.4504068915746608
600,0.6,0.0006000000000005,0.426933872021474,-0.060704692585957,-0.0622418268164263,301.120276303986,-4.8335998702738,51.2126982373885,29.5725884334993,46.8784558488667,70997.0485842177,4.47943147635011,0.4642258377010122
700,0.7,0.0007000000000005,0.527595485174994,0.0656747807321619,0.0351372360899786,301.660079701178,-4.83362670956026,51.187296495042,29.560148198904,46.8737651888858,70924.8848973403,4.48398914734127,0.47801497505365276
800,0.8,0.0008000000000004,0.477481683880939,-0.0575954873118372,-0.0186147502014367,294.568648056899,-4.83306558694335,51.2282733423113,29.5630681191064,46.869074528905,70981.56988382,4.4804082901609,0.49177697420105493
900,0.9,0.0009000000000006,0.5305118662328,0.0481966752722391,0.0198113379892661,298.998449324935,-4.83436355830817,51.1998810203763,29.5574357099154,46.8643838689241,70921.615070969,4.48419588073204,0.5055145057116912
1000,1.0,0.0010000000000005,0.487506573175526,-0.039624889655286,-0.0385318310001614,291.037405152518,-4.8338834957362,51.2183326584594,29.5699233208186,46.8596932089432,70970.0442129856,4.48113591703121,0.5192302401540341
1100,1.1,0.0011000000000005,0.559842348671968,0.0576216946074323,0.0427216639632686,300.501972236072,-4.83420567789203,51.2044860661357,29.5570453866093,46.8550025489623,70912.8591033051,4.4847495669693,0.5329268480965559
1200,1.2,0.0012000000000005,0.538847982028269,-0.0761797650046492,-0.0450154826815619,305.322352207305,-4.83384254047109,51.2283075895893,29.5716686708885,46.8503118889815,70973.8438165217,4.48089601823243,0.5466070001077292
1300,1.3,0.0013000000000004,0.604347909223364,0.0801707095127401,0.0111466275464006,304.352758900431,-4.83366985219439,51.1892543159807,29.5723054969457,46.8456212290006,70914.1643846065,4.48466701844318,0.5602733667560265
1400,1.4,0.0014000000000005,0.540979337487383,-0.0584626328054133,-0.0041086626607084,299.838494975093,-4.83354286440523,51.2282187028067,29.5735786038546,46.8409305690197,70964.0919028056,4.48151178474432,0.5739286186099202
1500,1.5,0.0015000000000005,0.577013990076372,0.0203556882445229,0.0208948616375533,297.979546748867,-4.83422404061291,51.2185112242926,29.5651719604253,46.8362399090388,70923.3730188186,4.48408473285271,0.5875754262378827
1600,1.6,0.0016000000000005,0.568696220368473,-0.0214085667670541,-0.0155407103114855,297.054799595576,-4.83460006241463,51.2141348335827,29.5757773762633,46.831549249058,70935.646976388,4.48330885403727,0.6012164602083867
1700,1.7,0.0017000000000004,0.617357598120254,0.0436270820961515,-0.0235762106826844,298.201162449315,-4.83385414231933,51.2099045908696,29.5762940924991,46.8268585890771,70923.9224933006,4.48404999295045,0.6148543910899046
1800,1.8,0.0018000000000005,0.629584537615114,-0.0399450722410875,0.0431983284915044,298.482318628141,-4.83271909967053,51.2449251728717,29.5652097417936,46.8221679290962,70938.7196688865,4.48311466066095,0.6284918894509086
1900,1.9,0.0019000000000005,0.62235205708469,0.0237354001544368,-0.06754829232833,303.379962443681,-4.83328229366326,51.214601207666,29.5877211664164,46.8174772691153,70943.6160343136,4.48280524638442,0.6421316258598715
2000,2.0,0.0020000000000005,0.65487142498001,0.0206609961299468,0.008000500322933,302.943295486445,-4.83394901198967,51.215576227199,29.5777816333499,46.8127866091345,70914.0281851181,4.4846756318215,0.6557762708852655
2100,2.1,0.0021000000000004,0.657578509484349,-0.0336469945670971,-0.0120553397538918,292.076331748232,-4.8334305450327,51.2444455687936,29.5714991023572,46.8080959491536,70931.8219628408,4.48355061741834,0.6694284950955633
2200,2.2,0.0022000000000004,0.70835493267624,0.0360874815381513,0.0398132472607322,299.903500393778,-4.83427442405954,51.2131297218434,29.5726949600581,46.8034052891727,70884.2376638145,4.48656040662269,0.6830909690592373
2300,2.3,0.0023000000000005,0.668942368803276,-0.0076911463730857,-0.0870165005614534,296.067264360737,-4.83337126934442,51.2294549911777,29.5908142604961,46.7987146291918,70943.1677251558,4.48283357444911,0.6967663633447598
2400,2.4,0.0024000000000005,0.757618768549802,0.0167923601617559,0.127490662534002,297.586272742683,-4.83331654200861,51.2471961032177,29.5529385598679,46.794023969211,70869.7943992909,4.48747476766046,0.7104573485206034
2500,2.5,0.0025000000000005,0.664061114280745,-0.0643155416325964,-0.106902472735728,296.672631265347,-4.83319156867486,51.2453774519967,29.5949160478618,46.7893333092301,70960.8265859172,4.48171800494807,0.7241665951551568
2600,2.6,0.0026000000000004,0.778595002938299,0.106227570510959,0.0898665066941879,298.381404584502,-4.83344612719652,51.196889838382,29.5812158847659,46.7846426492492,70853.7623544712,4.48849014629685,0.7370666756203013
2700,2.7,0.0027000000000005,0.706848045857597,-0.0956395816240041,-0.0839058768755049,294.791893453381,-4.83270546217334,51.2662253374399,29.5899537826279,46.7799519892683,70963.561019151,4.48154531126583,0.7513386745453042
2800,2.8,0.0028000000000005,0.836938378585311,0.0807857468577376,0.137572464048035,303.70915586956,-4.83313119714051,51.2296578488723,29.563940640991,46.7752613292875,70843.4984135966,4.48914044729143,0.7650395718427913
2900,2.9,0.0029000000000005,0.706617384910478,-0.0844905500855857,-0.156782425516435,305.046635989525,-4.83330428089698,51.2543736744825,29.6054828846321,46.7705706693066,70970.1542099681,4.48112897169715,0.7799759251902857
3000,3.0,0.0030000000000004,0.883669261040842,0.102044567175245,0.172308621807216,297.086516506643,-4.8332570338617,51.2278309477437,29.5613553816132,46.7658800093257,70820.5705428135,4.49059378819668,0.7929681549644962
3100,3.1,0.0031000000000006,0.710166573850955,-0.122821569967741,-0.152155213996253,300.857286349801,-4.83433329940727,51.269951591563,29.5999222662762,46.7611893493448,70964.1535011797,4.48150789469807,0.8087091351390581
3200,3.2,0.0032000000000005,0.89950135373722,0.155563299896425,0.11347035156167,297.094893664203,-4.83369629621716,51.2069190998764,29.5740420576662,46.756498689364,70807.8349095199,4.49140147502724,0.8211486775142354
3300,3.3,0.0033000000000005,0.762571521321693,-0.122755404399602,-0.140535497908648,296.276905092079,-4.83319307014239,51.2801497148421,29.5999518934496,46.7518080293831,70964.1002369606,4.4815112584273,0.8371645498213668
3400,3.4,0.0034000000000005,0.940656429706458,0.13402063839353,0.164091580659924,301.964396306545,-4.83346971567035,51.2236111844817,29.5668913975336,46.7471173694022,70799.582049996,4.49192502197999,0.8490424018971569
3500,3.5,0.0035000000000004,0.772103514591381,-0.131708133194014,-0.186257309615187,309.328763786419,-4.83318625563272,51.2704293404523,29.6184387165185,46.7424267094213,70980.7153230385,4.48046223130805,0.8658990676757687
3600,3.6,0.0036000000000005,0.971705027303554,0.144721770609899,0.144350354910844,310.051679159003,-4.83275600812442,51.2242151408172,29.5750291278583,46.7377360494405,70805.6909980542,4.49153746928114,0.8774603213639751
3700,3.7,0.0037000000000005,0.811370312343994,-0.169730362515056,-0.115373264521581,301.440358143907,-4.83289961711443,51.302429391216,29.5997227470697,46.7330453894596,70965.8906162435,4.48139819559044,0.8945186898959603
3800,3.8,0.0038000000000005,0.996644983771508,0.167027413991595,0.13179432915203,301.028154932642,-4.83366247957696,51.2177852663142,29.5764959427723,46.7283547294787,70786.1032191673,4.49278035791054,0.9056894320694582
3900,3.9,0.0039000000000004,0.826510850584231,-0.152096590229708,-0.129201493211964,297.80004070491,-4.83375454303796,51.2829727870967,29.6101653008587,46.7236640694978,70949.7577985002,4.48241719244918,0.9235214681003412
4000,4.0,0.0040000000000006,1.02402427393421,0.159845802439678,0.158377818778973,294.767267155962,-4.83345257307077,51.2283573434401,29.5716152876131,46.718973409517,70774.8192689116,4.49349666224861,0.9339216817397987
4100,4.1,0.0041000000000005,0.861640958924345,-0.154314495260626,-0.150574190811284,303.659899321719,-4.83375048140184,51.28838191514,29.612303774764,46.7142827495361,70948.1178603253,4.48252080178078,0.9503759303467312
4200,4.2,0.0042000000000005,1.05964547180442,0.156093117824753,0.120086088733846,304.612142113428,-4.83297345044558,51.2308034504402,29.5817151489519,46.7095920895552,70788.1548763094,4.49265014340042,0.9605146378549239
4300,4.3,0.0043000000000004,0.894363801541606,-0.168898097599062,-0.0990810251237044,307.977517421497,-4.83352884832244,51.298152607445,29.6095028740832,46.7049014295743,70940.6724670541,4.48299125306148,0.9772349946189528
4400,4.4,0.0044000000000004,1.06623814702177,0.157893588535881,0.0917794471397856,299.215469155786,-4.83337032131909,51.2232443495401,29.5906258237087,46.7002107695935,70784.8103923482,4.49286241487879,0.9881138944486351
4500,4.5,0.0045000000000005,0.932940604628048,-0.116063293632223,-0.0986386842300725,296.385238816539,-4.83323941801624,51.2851352365406,29.6118936505611,46.6955201096126,70914.1502359686,4.48466791321424,1.0037303529894905
4600,4.6,0.0046000000000005,1.07589125863563,0.114063366774913,0.103109545416861,298.410574107354,-4.83343796884289,51.2491457191732,29.5818151507959,46.6908294496317,70785.2937260986,4.49283173686749,1.014284187648915
4700,4.7,0.0047000000000005,0.972834661623985,-0.112417685490234,-0.0759314171018382,298.991319766226,-4.8332471669322,51.2906010795618,29.6101835512064,46.6861387896508,70903.3646955142,4.4853501032261,1.0302251631012245
4800,4.8,0.0048000000000004,1.0921698382743,0.105952307244986,0.0594957185190714,306.675314050464,-4.83380810219363,51.2465665514251,29.5938814824122,46.68144812967,70796.3754645222,4.49212847507248,1.0422015922617172
4900,4.9,0.0049000000000005,1.01693579414279,-0.112532740765448,-0.0337458392902862,299.720262045162,-4.83272810989329,51.3040357801638,29.6043161217608,46.6767574696891,70893.6344885076,4.48596572105013,1.0577018757824526
