frame,timestep,strain,n_sample
0,0,0.0,1000
1,10000,0.010000000000000057,1000
2,20000,0.020000000000000115,1000
3,30000,0.03000000000000002,1000
4,40000,0.04000000000000008,1000
5,50000,0.050000000000000135,1000
6,60000,0.06000000000000004,1000
7,70000,0.0700000000000001,1000
8,80000,0.08000000000000015,1000
9,90000,0.09000000000000007,1000
10,100000,0.10000000000000012,1000
11,105000,0.10500000000000008,1000
12,110000,0.11000000000000003,1000
13,115000,0.11500000000000013,1000
14,120000,0.12000000000000008,1000
15,122000,0.12200000000000001,1000
16,124000,0.12400000000000008,1000
17,126000,0.12600000000000014,1000
18,128000,0.12800000000000006,1000
19,130000,0.13000000000000014,1000
20,132000,0.13200000000000006,1000
21,134000,0.13400000000000015,1000
22,136000,0.13600000000000007,1000
23,138000,0.13800000000000012,1000
24,140000,0.14000000000000004,1000
25,142000,0.14200000000000013,1000
26,144000,0.14400000000000004,1000
27,146000,0.1460000000000001,1000
28,148000,0.1480000000000002,1000
29,150000,0.1500000000000001,1000
30,152000,0.15200000000000002,1000
31,154000,0.1540000000000001,1000
32,156000,0.15600000000000017,1000
33,158000,0.15800000000000008,1000
34,160000,0.16,1000
35,162000,0.1620000000000001,1000
36,164000,0.16400000000000015,1000
37,166000,0.16600000000000006,1000
38,168000,0.16800000000000015,1000
39,170000,0.17000000000000007,1000
40,172000,0.17200000000000015,1000
41,174000,0.17400000000000007,1000
42,176000,0.176,1000
43,178000,0.1780000000000002,1000
44,180000,0.18000000000000013,1000
45,190000,0.19000000000000003,1000
46,200000,0.2000000000000001,1000
47,210000,0.21000000000000016,1000
48,220000,0.22000000000000006,1000
49,230000,0.23000000000000012,1000
50,240000,0.24000000000000016,1000
51,250000,0.25000000000000006,1000
