frame,timestep,strain,n_sample,case,label,soap_distance_from_ref
0,0,0.0,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.0
1,10000,0.01,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.004985191397036355
2,20000,0.0200000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.00916428303454005
3,30000,0.03,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.012433769442823414
4,40000,0.04,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.017519937669597103
5,50000,0.0500000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.021838860609333755
6,60000,0.06,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.02589699917759509
7,70000,0.0700000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.03010183633839878
8,80000,0.0800000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.03478312521739399
9,90000,0.09,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.040020273815616486
10,100000,0.1000000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.04514335592323794
11,105000,0.105,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.04826983280811576
12,110000,0.11,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.05079872204790436
13,115000,0.1150000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.05392211172314234
14,120000,0.12,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.05673966926038162
15,122000,0.122,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.057826348965805165
16,124000,0.124,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.05893678684645415
17,126000,0.1260000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06007392901496504
18,128000,0.128,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.0617482127277167
19,130000,0.1300000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.0626696762816527
20,132000,0.132,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06402111083703635
21,134000,0.1340000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06533590379078213
22,136000,0.136,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.066500877072786
23,138000,0.1380000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06795852526966405
24,140000,0.14,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06941718638254246
25,142000,0.1420000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.07019501316800701
26,144000,0.144,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.07185936590968083
27,146000,0.1460000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.07310348699170766
28,148000,0.1480000000000002,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.07472394641515934
29,150000,0.1500000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.0761790265025865
30,152000,0.152,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.07718791401981602
31,154000,0.1540000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.0794243543726438
32,156000,0.1560000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.08033228592349542
33,158000,0.158,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.06675975004001646
34,160000,0.16,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.02041322919017193
35,162000,0.1620000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.013666511257080158
36,164000,0.1640000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011704897713343381
37,166000,0.166,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011322962961706552
38,168000,0.1680000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011278800032214762
39,170000,0.17,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.010601673772899587
40,172000,0.1720000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.010776418180156669
41,174000,0.174,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011220958906035073
42,176000,0.176,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011211910447455606
43,178000,0.1780000000000002,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.011974756271481063
44,180000,0.1800000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.012427043295253517
45,190000,0.19,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.015767614106823414
46,200000,0.2000000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.01922488115070019
47,210000,0.2100000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.014357842732242736
48,220000,0.22,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.013630105973169241
49,230000,0.2300000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.015278214567723191
50,240000,0.2400000000000001,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.01799061166579118
51,250000,0.25,1000,4k_1e9,"Ti 4k, 1e9 s^-1",0.020740773519344786
