step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
1900,1.9,0.0189999999999985,2.96367086495115,-0.00212935754306752,-0.00448434269305995,300.823656290971,-4.83109151284374,154.503178622606,89.2117005451455,138.073633067478,1903136.72077363,4.51187404902153
2000,2,0.0199999999999988,3.11250411226821,0.0107557457106268,0.00598820630909787,299.545479502185,-4.83066264884739,154.552762332446,89.2358130214165,137.932885225411,1902320.89049507,4.51380901355914
2100,2.1,0.0209999999999987,3.2421990020887,-0.00489307554586574,0.000640660417547564,298.282371197309,-4.83044036753631,154.618513764005,89.2639974977924,137.792137383345,1901788.70224091,4.51507213818266
2200,2.2,0.0219999999999986,3.39014043821996,0.00885096837360652,0.0102962653862112,298.499794924195,-4.83022521656739,154.662543723243,89.2889219749091,137.651389541278,1900917.75920607,4.51714080770372
2300,2.3,0.0229999999999984,3.51208447685196,-0.00874190102217088,-0.00405119685705516,300.38887873441,-4.82997287250149,154.722273464027,89.3288525482933,137.510641699211,1900557.01408917,4.51799820712749
2400,2.4,0.0239999999999987,3.66264477680457,0.0103706828000238,0.00119383552884583,299.418207299854,-4.82933406753705,154.765011189203,89.3592676272121,137.369893857144,1899782.78008074,4.51983946387468
2500,2.5,0.0249999999999986,3.79564938324057,-0.00658357581444247,0.00419089251208935,300.292479827986,-4.82900306717433,154.836620746022,89.3851896915909,137.229146015078,1899265.20210005,4.52107118726969
2600,2.6,0.0259999999999985,3.94430208575215,0.00758168054800316,0.00809185910354574,298.969837789116,-4.82848214491046,154.881520376361,89.415207065375,137.088398173011,1898504.76582885,4.52288207896579
2700,2.7,0.0269999999999988,4.07226954977242,-0.00155407823628032,-0.00516469065567889,300.056734496215,-4.82825753566938,154.929250121965,89.4558086720876,136.947650330944,1898001.49497065,4.52408135870897
2800,2.8,0.0279999999999987,4.21335108343615,0.00555741963859358,0.00115243759777329,299.844994921953,-4.82781676595992,154.984718589947,89.4831107356493,136.806902488877,1897308.54314224,4.52573368376738
2900,2.9,0.0289999999999986,4.34912016852338,-0.00153071676478582,0.00320354535625549,299.378838437314,-4.82732920766278,155.049802782662,89.511996611634,136.666154646811,1896764.60801644,4.52703152827071
3000,3,0.0299999999999985,4.49150556289461,0.00671666486606432,0.00206086558376815,299.229910740755,-4.82684928851763,155.095474097953,89.5473232146668,136.525406804744,1896117.35030118,4.52857687359622
3100,3.1,0.0309999999999988,4.62395299151431,0.00595901609662033,-0.00410441970230494,299.896636014843,-4.82646683484597,155.151655340863,89.5811744432001,136.384658962677,1895565.0273288,4.52989639416314
3200,3.2,0.0319999999999987,4.7619367522101,-0.000588632625699551,0.00863766857074218,299.693707922812,-4.82600280575079,155.216350915297,89.6064620246696,136.24391112061,1894933.18584642,4.53140683077066
3300,3.3,0.0329999999999985,4.89949121203808,0.00545540874779184,-0.00256892449612441,299.241716957458,-4.82549931145653,155.2671881901,89.6431699840637,136.103163278544,1894371.33320566,4.53275080322716
3400,3.4,0.0339999999999988,5.03923456650865,-0.000574727673587735,0.00587039631221003,300.881497191287,-4.82514525824204,155.318001107269,89.6762232934659,135.962415436477,1893729.62756609,4.53428676259055
3500,3.5,0.0349999999999987,5.17377509382277,0.00158706265190716,-0.00532847425391502,301.002917964448,-4.82445055170331,155.379567986049,89.7128605935557,135.82166759441,1893292.31828169,4.53533408406346
3600,3.6,0.0359999999999986,5.31250023923214,-0.00388053156191403,0.00897150523963901,301.787785124444,-4.82387615820282,155.448518156095,89.7370426861227,135.680919752343,1892679.67523788,4.53680213009064
3700,3.7,0.0369999999999985,5.4469776599898,0.00261175130248887,-0.0053321165436278,300.859302147352,-4.82327071656002,155.496793460308,89.7786257912189,135.540171910277,1892179.89396423,4.53800043515355
3800,3.8,0.0379999999999988,5.58723617129491,0.00982372083045305,0.0010710988129613,299.340493148651,-4.82273266021593,155.547120678038,89.8107176784534,135.39942406821,1891502.67678835,4.53962518138128
3900,3.9,0.0389999999999987,5.72007600111981,-0.008053807377884,0.00978325217578843,299.016292869215,-4.82207137894292,155.619494489604,89.839846820377,135.258676226143,1891028.7676164,4.54076285313302
4000,4,0.0399999999999986,5.85771548956271,0.00987028497421716,-0.00542054701583833,300.240861720293,-4.8214687513284,155.662788065794,89.8823949021951,135.117928384076,1890481.44205957,4.54207747886895
4100,4.1,0.0409999999999985,5.99568505264248,-0.0018885757933135,0.00611034144425919,300.044238292563,-4.82070278643707,155.734397820691,89.9102222242996,134.97718054201,1889965.91200407,4.54331643108492
4200,4.2,0.0419999999999988,6.12952184858612,-8.58590169722748e-05,0.00608553086671748,300.426873485044,-4.82005803758811,155.802664313374,89.9398876756469,134.836432699943,1889445.9592809,4.54456669693082
4300,4.3,0.0429999999999986,6.25963880152441,0.00250165939015625,-0.000391403039194251,300.122192843724,-4.81947290254497,155.848961631763,89.9839478291175,134.695684857876,1888959.46582149,4.54573713071402
4400,4.4,0.0439999999999985,6.40277482110122,0.00911861980466433,0.00264873097703704,298.320208479811,-4.81871832761409,155.901446260422,90.0186595088216,134.554937015809,1888349.26168963,4.54720604731531
4500,4.5,0.0449999999999988,6.53438988036685,0.00194130523263154,0.0024400040487054,299.437035642414,-4.81818438141213,155.975201806721,90.0461624049365,134.414189173743,1887843.0331435,4.54842538889502
4600,4.6,0.0459999999999987,6.67199575694513,-0.00172536921092075,0.00767160290739455,299.603208409246,-4.81734062413159,156.037074624011,90.0817011694595,134.273441331676,1887358.92173878,4.54959206926455
4700,4.7,0.0469999999999986,6.80549483495141,0.0124977352539059,-0.00675974284213363,300.184774572822,-4.81649646076007,156.084638726418,90.1277909563577,134.132693489609,1886920.20866126,4.55064985937619
4800,4.8,0.0479999999999985,6.9379256149413,-0.000766852165415995,0.00548845739065351,301.133287228017,-4.81589131546613,156.15885417717,90.1565327192932,133.991945647542,1886437.87822728,4.55181338399947
4900,4.9,0.0489999999999988,7.07374796001306,0.00236858778342536,0.00681568271592154,300.268978350672,-4.815112784985,156.227408683738,90.1867096615466,133.851197805476,1885914.6483011,4.55307624336748
5000,5,0.0499999999999987,7.20281517421441,-0.00147675817585671,-0.000915474121172987,300.748141333225,-4.81445612163237,156.284082395421,90.2275283504999,133.710449963409,1885467.96597183,4.55415490327495
5100,5.1,0.0509999999999986,7.34181082755226,0.00429750369904869,0.00469699433568178,299.250929255756,-4.81345467733285,156.343176019711,90.2647591979728,133.569702121342,1884972.92040407,4.55535094921034
