case,label,frame,strain,anomaly_score_mean,anomaly_fraction
32k_1e9,"Ti 32k, 1e9 s^-1",4,0.03999999910593033,-0.13225167917620426,0.001
32k_1e9,"Ti 32k, 1e9 s^-1",5,0.05000000819563866,-0.1308500170398188,0.0
32k_1e9,"Ti 32k, 1e9 s^-1",6,0.059999994933605194,-0.12815153386042272,0.002
32k_1e9,"Ti 32k, 1e9 s^-1",7,0.07000000029802322,-0.12105483586013947,0.007
32k_1e9,"Ti 32k, 1e9 s^-1",8,0.07999999821186066,-0.1071620139317966,0.011
32k_1e9,"Ti 32k, 1e9 s^-1",9,0.09000001847743988,-0.08872868418283804,0.044
32k_1e9,"Ti 32k, 1e9 s^-1",10,0.10000001639127731,-0.05882899900295164,0.14
32k_1e9,"Ti 32k, 1e9 s^-1",11,0.10500001162290573,-0.0418980357214782,0.201
32k_1e9,"Ti 32k, 1e9 s^-1",12,0.11000000685453415,-0.022037379320746946,0.345
32k_1e9,"Ti 32k, 1e9 s^-1",13,0.11500000208616257,-0.004249537070828307,0.472
32k_1e9,"Ti 32k, 1e9 s^-1",14,0.11999998986721039,0.015806428495970224,0.646
32k_1e9,"Ti 32k, 1e9 s^-1",15,0.12199998646974564,0.019132962794381647,0.688
32k_1e9,"Ti 32k, 1e9 s^-1",16,0.12399998307228088,0.023718323565516904,0.721
32k_1e9,"Ti 32k, 1e9 s^-1",17,0.12600001692771912,0.03156681389594814,0.782
32k_1e9,"Ti 32k, 1e9 s^-1",18,0.12800002098083496,0.037587795219293556,0.849
32k_1e9,"Ti 32k, 1e9 s^-1",19,0.12999999523162842,0.041108504616348227,0.857
32k_1e9,"Ti 32k, 1e9 s^-1",20,0.13199998438358307,0.04704217764981951,0.905
32k_1e9,"Ti 32k, 1e9 s^-1",21,0.1340000331401825,0.05258068633917437,0.915
32k_1e9,"Ti 32k, 1e9 s^-1",22,0.13600002229213715,0.05517923140557727,0.947
32k_1e9,"Ti 32k, 1e9 s^-1",23,0.1379999965429306,0.06015023765627055,0.95
32k_1e9,"Ti 32k, 1e9 s^-1",24,0.14000000059604645,0.06231265347536407,0.97
32k_1e9,"Ti 32k, 1e9 s^-1",25,0.1419999897480011,0.06528529051489128,0.982
32k_1e9,"Ti 32k, 1e9 s^-1",26,0.14400002360343933,0.06938960281706966,0.987
32k_1e9,"Ti 32k, 1e9 s^-1",27,0.1459999978542328,0.07180971412276657,0.998
32k_1e9,"Ti 32k, 1e9 s^-1",28,0.14800000190734863,0.07417386838904005,0.994
32k_1e9,"Ti 32k, 1e9 s^-1",29,0.15000000596046448,0.07738405606264863,0.994
32k_1e9,"Ti 32k, 1e9 s^-1",30,0.15199996531009674,0.07909905627695242,0.999
32k_1e9,"Ti 32k, 1e9 s^-1",31,0.15399999916553497,0.08001051295392914,0.996
32k_1e9,"Ti 32k, 1e9 s^-1",32,0.15599998831748962,0.08328908169194611,0.978
32k_1e9,"Ti 32k, 1e9 s^-1",33,0.15800000727176666,0.025188574016967686,0.589
32k_1e9,"Ti 32k, 1e9 s^-1",34,0.1599999964237213,0.008442016359804266,0.548
32k_1e9,"Ti 32k, 1e9 s^-1",35,0.16199997067451477,0.005691675722929308,0.537
32k_1e9,"Ti 32k, 1e9 s^-1",36,0.1640000194311142,0.00393700609421123,0.519
