case,label,frame,strain,mds1,mds2
4k_1e9,"Ti 4k, 1e9 s^-1",31,0.1540000000000001,-0.01403636611989623,0.036869022931647795
4k_1e9,"Ti 4k, 1e9 s^-1",32,0.1560000000000001,-0.01568480421946792,0.037060586032962105
4k_1e9,"Ti 4k, 1e9 s^-1",33,0.158,-0.003529576091865133,0.026854358789333278
4k_1e9,"Ti 4k, 1e9 s^-1",34,0.16,0.019412799401895043,-0.015370998089667449
4k_1e9,"Ti 4k, 1e9 s^-1",35,0.1620000000000001,0.022261062149245187,-0.02179680033469732
4k_1e9,"Ti 4k, 1e9 s^-1",36,0.1640000000000001,0.021760597072422377,-0.02392745589679265
4k_1e9,"Ti 4k, 1e9 s^-1",37,0.166,0.02168022233426922,-0.02452700295966957
4k_1e9,"Ti 4k, 1e9 s^-1",38,0.1680000000000001,0.020698925180794837,-0.024521303591963223
4k_1e9,"Ti 4k, 1e9 s^-1",39,0.17,0.019409287482716638,-0.025831726833729897
4k_1e9,"Ti 4k, 1e9 s^-1",40,0.1720000000000001,0.019876081879065737,-0.025397210427855327
4k_1e9,"Ti 4k, 1e9 s^-1",41,0.174,0.019543846523270524,-0.024799004740326897
4k_1e9,"Ti 4k, 1e9 s^-1",42,0.176,0.018081483389503147,-0.025724755564754287
4k_1e9,"Ti 4k, 1e9 s^-1",43,0.1780000000000002,0.016816349803154294,-0.025992123319723736
4k_1e9,"Ti 4k, 1e9 s^-1",44,0.1800000000000001,0.01719399057700934,-0.024896702387846078
4k_1e9,"Ti 4k, 1e9 s^-1",45,0.19,0.013545060565685456,-0.023413435473591676
4k_1e9,"Ti 4k, 1e9 s^-1",46,0.2000000000000001,0.012462402202261223,-0.01900557840426981
4k_1e9,"Ti 4k, 1e9 s^-1",47,0.2100000000000001,0.01731596825601435,-0.022866950487049183
4k_1e9,"Ti 4k, 1e9 s^-1",48,0.22,0.018321277325635207,-0.022242852459074973
4k_1e9,"Ti 4k, 1e9 s^-1",49,0.2300000000000001,0.014920387751238669,-0.021732200160850004
4k_1e9,"Ti 4k, 1e9 s^-1",50,0.2400000000000001,0.010031639853011361,-0.02213215534427063
4k_1e9,"Ti 4k, 1e9 s^-1",51,0.25,0.008531591261384785,-0.019407775180500502
32k_1e9,"Ti 32k, 1e9 s^-1",0,0.0,0.02002543033815791,-0.03605387680617822
32k_1e9,"Ti 32k, 1e9 s^-1",1,0.01,0.016579518842419858,-0.03445021932212722
32k_1e9,"Ti 32k, 1e9 s^-1",2,0.02,0.01221042508589346,-0.03335524664796314
32k_1e9,"Ti 32k, 1e9 s^-1",3,0.0300000000000001,0.009157104219213381,-0.03054138943548724
32k_1e9,"Ti 32k, 1e9 s^-1",4,0.0399999999999998,0.006210541856652005,-0.02775032003406007
32k_1e9,"Ti 32k, 1e9 s^-1",5,0.0499999999999999,0.0032403303749430823,-0.024460145244939373
32k_1e9,"Ti 32k, 1e9 s^-1",6,0.0599999999999999,-0.00018329073326089587,-0.02116833631132468
32k_1e9,"Ti 32k, 1e9 s^-1",7,0.07,-0.002186153552038865,-0.016878977158639043
32k_1e9,"Ti 32k, 1e9 s^-1",8,0.08,-0.0045616270472087625,-0.01189518622141801
32k_1e9,"Ti 32k, 1e9 s^-1",9,0.0900000000000001,-0.007284447919107459,-0.0069777700896981164
32k_1e9,"Ti 32k, 1e9 s^-1",10,0.0999999999999998,-0.008776077980973782,-0.0013267879343891661
32k_1e9,"Ti 32k, 1e9 s^-1",11,0.1049999999999998,-0.00975175456597285,0.0017442486168865582
32k_1e9,"Ti 32k, 1e9 s^-1",12,0.1099999999999998,-0.010950856932103509,0.004105689650981967
