step,time_ps,temp_K,press_bar,pxx_bar,pyy_bar,pzz_bar,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,pe_eV_atom
0,0,300,705.476137898999,-336.89471537697,-410.73646495338,2864.05959402735,51.095498823282,29.5,46.8,70542.4456754231,4.50829867197109,-4.87263950503365
1000,1,312.340802835544,929.040950168359,-371.671104260612,-195.853297798767,3354.64725256446,51.2065247848647,29.5641008688068,46.9016922257681,71003.2929340636,4.47903753494129,-4.83327091719164
2000,2,300.308806708882,189.784401494522,-852.789269777254,-1219.08384129349,2641.22631555431,51.218063077486,29.5707625051579,46.9122605166571,71051.3009598114,4.47601113364535,-4.83397702706705
3000,3,304.001222379086,-135.984668598125,-1605.5879977996,-1419.67757537741,2617.31156738264,51.2215984882618,29.5728036755209,46.9154987123516,71066.0152730553,4.47508436957042,-4.83413380776154
4000,4,303.772447945674,-401.793869293829,-1680.12000191042,-1725.05872635218,2199.79712038112,51.226697511784,29.575747598124,46.920169070922,71087.2408908675,4.47374817436414,-4.83364805433258
5000,5,294.365600236085,-737.825450993869,-2048.75833682942,-2202.84363875709,2038.1256226049,51.2324678535674,29.5790791065059,46.9254543113379,71111.2660908533,4.47223670226579,-4.83340344017465
6000,6,299.069073771977,-1717.97359676293,-2890.23141938606,-3156.15749337872,892.468122475987,51.2517208441178,29.590194825783,46.9430887405639,71191.4663521818,4.46719853448216,-4.83265807284332
7000,7,299.068898819576,-1241.6703332403,-2484.95731983696,-2679.17516869626,1439.12148881231,51.2392475778871,29.5829933821671,46.9316640774717,71139.5008374492,4.47046170428971,-4.83413273763925
8000,8,300.370850293886,-441.161495485401,-1750.05869763607,-1731.01135017065,2157.58556135052,51.2281323364444,29.5765759945279,46.9214832726746,71093.2143727513,4.47337227556834,-4.83355422182217
9000,9,297.277790538541,305.241771054432,-1081.94891816635,-961.388479883132,2959.06271121277,51.2190207678178,29.5713154279287,46.9131376958323,71055.2866483887,4.47576006173658,-4.83281015367125
10000,10,292.119831067655,210.464934858126,-1319.57906904403,-1037.71399203405,2988.68786565246,51.2179667058434,29.5707068649641,46.91217224679,71050.8998912843,4.47603639985867,-4.83319154840673
11000,11,306.674351732365,-79.1674196764648,-1519.53867367299,-1324.35782714524,2606.39424178884,51.2237975478569,29.5740733031702,46.9175129012999,71075.1687425017,4.47450804243998,-4.83322694947892
12000,12,308.814137108544,-86.6856364720402,-1450.53614538999,-1527.40444107297,2717.88367704684,51.2222604016863,29.5731858314144,46.9161049800064,71068.7703700518,4.47491088561338,-4.83383124748818
13000,13,302.814579169613,-184.054144029467,-1389.86824491659,-1773.82917180657,2611.53498463476,51.2249004165267,29.5747100446931,46.9185230539537,71079.7596710293,4.47421904108834,-4.8332702758652
14000,14,297.197485922614,-209.017377051226,-1496.54575521985,-1687.21517367032,2556.70879773649,51.224758665753,29.5746282048458,46.9183932198908,71079.1695918123,4.4742561847928,-4.83323828690033
15000,15,311.128010084604,-645.603112665812,-2007.97011654877,-2062.88293777485,2134.04371632618,51.232243252023,29.5789494327437,46.9252485916065,71110.3308462214,4.47229552122104,-4.83373588690271
16000,16,302.761233124849,-674.532060234901,-1835.1348191848,-2070.21634345083,1881.75498193093,51.2312755932127,29.5783907546692,46.9243622819832,71106.3015923311,4.47254894480973,-4.83405824497476
17000,17,301.756038087066,-592.679850553033,-1854.30923570986,-2074.20743559722,2150.47711964798,51.2350356589712,29.580561629647,46.9278062463549,71121.9590587995,4.47156431522334,-4.83231005756823
18000,18,296.477896643817,98.8549678295832,-1430.76587978038,-1231.75168711708,2959.08247038621,51.2183470645346,29.5709264651566,46.9125206294687,71052.4828335436,4.47593668051194,-4.8340212451903
19000,19,305.989531776912,703.161669884339,-875.038421322428,-503.927597130278,3488.45102810572,51.2100223224958,29.5661201730998,46.9048957322393,71017.8430515988,4.47811987087579,-4.83378490797261
20000,20,300.049825607262,478.503911278208,-694.328277166469,-1037.1818569922,3167.02186799329,51.2122864420625,29.5674273631412,46.9069695116949,71027.2630824778,4.4775259576989,-4.83410237443619
21000,21,308.693547544091,212.059622372087,-1025.50568186278,-1281.68872334576,2943.3732723248,51.2207078897306,29.5722894882192,46.9146829847002,71062.308427297,4.47531780481733,-4.83291224607244
22000,22,296.898009715629,65.0910910530345,-1271.74257306402,-1390.1010034962,2857.11684971933,51.2187223126412,29.5711431147523,46.9128643312,71054.0445300767,4.47583830391927,-4.83383262720204
23000,23,298.910551954435,-24.7499340053086,-1185.81504606457,-1482.85359269115,2594.41883673979,51.2209150969238,29.5724091193482,46.9148727723891,71063.1708527678,4.47526349218226,-4.83349723763433
24000,24,299.54122093527,-320.901758415988,-1740.17598602137,-1692.89706462835,2470.36777540175,51.2252514599537,29.5749127197108,46.9188445858458,71081.2210064303,4.47412705709336,-4.83404262037028
25000,25,294.112178516305,-944.834946880225,-2291.38592874459,-2173.07111182662,1629.95219993053,51.237262019091,29.5818470192618,46.929845440727,71131.2310328696,4.4709814456767,-4.83313875617537
26000,26,306.121000008866,-1387.94669779698,-2699.8653867365,-2825.78454239219,1361.80983573774,51.2442632950713,29.5858892078337,46.9362581331054,71160.394033361,4.46914914505683,-4.83320169045604
27000,27,307.73379789616,-810.243611115798,-2006.99117090041,-2209.22546150129,1785.48579905431,51.2334625987687,29.5796534229157,46.9263654302528,71115.4083252888,4.47197620945125,-4.8342705949379
28000,28,293.92549908848,179.02223446351,-1169.58824287486,-1257.59602321491,2964.2509694803,51.2188168017459,29.571197668062,46.9129508767897,71054.4377756582,4.47581353272001,-4.83315876117838
29000,29,302.627914924522,279.361706059865,-1355.03727023223,-831.054723581445,3024.17711199327,51.218460353344,29.5709918724815,46.9126243943088,71052.9543131668,4.47590697994622,-4.83291031776017
30000,30,300.634088502723,307.148077672387,-1261.66589256396,-845.593701077873,3028.703826659,51.2144848670963,29.5686966244262,46.9089831194282,71036.4105836296,4.4769493776955,-4.83406640387155
31000,31,302.39379660006,395.601484211125,-1352.95756275806,-585.881086249806,3125.64310164124,51.2143781575452,29.5686350156379,46.90888538074,71035.9665541093,4.47697736207836,-4.83357064088517
32000,32,295.251519206115,478.012123905497,-1204.80748099087,-643.088109172795,3281.93196188016,51.2119825875389,29.5672519326497,46.9066912016267,71025.9988256744,4.47760565728423,-4.83383999305193
33000,33,303.129445475948,-632.861423856738,-1890.65891111156,-2062.29080226896,2054.36544181032,51.2323455532655,29.5790084963937,46.9253422925832,71110.7568293095,4.47226873030583,-4.83325541172244
34000,34,298.463521095208,-1085.56810098926,-2228.09745721797,-2667.8473919051,1639.24054615528,51.2357195143232,29.5809564537185,46.9284326113223,71124.8069800054,4.47138526851126,-4.83430824009954
35000,35,298.248994947681,-748.837538226859,-2052.27611400768,-2185.37017883357,1991.13367816067,51.231336146564,29.5784257151628,46.9244177447318,71106.5537271774,4.47253308571684,-4.83346877456548
36000,36,298.445442446708,-215.164093820599,-1771.70973143891,-1465.40244683494,2591.61989681205,51.2253014647507,29.5749415899934,46.9188903868364,71081.4291697106,4.47411395452951,-4.83348911292313
37000,37,310.022814847128,115.911647023489,-1503.26766768771,-983.726696502995,2834.72930526118,51.2196040873571,29.5716522076215,46.9136719768364,71057.7143642138,4.47560714556656,-4.83406829640815
38000,38,299.366495131322,1796.08187573186,280.939609541726,571.600347896092,4535.70566975777,51.1911328884211,29.5552143532518,46.8875942960059,70939.2846733235,4.4830789543568,-4.83376253795896
39000,39,299.380270019624,1755.54763572421,372.619861313706,186.564610824295,4707.45843503464,51.1923390951321,29.5559107570211,46.8886990992739,70944.2993771977,4.48276206753717,-4.83389004531676
40000,40,303.445120924977,614.761976575076,-519.184137983926,-1035.20507822847,3398.67514593763,51.2126049312368,29.5676112429515,46.9072612261055,71028.5882462187,4.47744242154543,-4.83333775198752
41000,41,297.018344982715,262.106115096549,-1008.93797922502,-1224.46631099776,3019.72263551242,51.2166942747193,29.569972226512,46.9110067864657,71045.6045738656,4.47637001702833,-4.83358119177432
42000,42,302.796385896528,-233.912297127094,-1690.85937598401,-1489.6101125177,2478.73259712044,51.2275081901551,29.5762156434999,46.9209115971447,71090.6158771605,4.47353578573056,-4.83302439908471
43000,43,305.567339904876,-1129.17729141269,-2692.37140651884,-2277.35423387266,1582.19376615341,51.2414333963457,29.5842553650424,46.9336661384391,71148.6054598749,4.4698896359319,-4.83322263853506
44000,44,304.593026444405,-1884.81826930176,-3383.72856798578,-2997.59663328782,726.870393368314,51.2512203081391,29.589905841201,46.9426302836668,71189.3805563267,4.46732942007372,-4.83363016858944
45000,45,297.206262678076,-1034.72222996089,-2577.38351848091,-2239.73653886879,1712.95336746702,51.2351928011477,29.5806523557251,46.9279501778948,71122.6134719505,4.47152317148085,-4.83388002586159
46000,46,296.651239586377,-126.108331819753,-1309.08349102247,-1644.20869284122,2574.96718840443,51.221915586305,29.5729867521619,46.9157891525811,71067.3351284227,4.47500125875567,-4.8336499182855
47000,47,301.311374750742,532.472625117545,-836.82378392622,-974.619564346273,3408.86122362513,51.2150960819029,29.5690495094597,46.9095429505991,71038.9539475384,4.47678909223469,-4.83291165561548
48000,48,302.425929142372,990.300034937215,-273.171989881727,-551.800462359991,3795.87255705336,51.2046520334453,29.5630196352714,46.8999769129035,70995.5029118863,4.47952899989751,-4.83393338945396
49000,49,302.62746386177,1187.99821719551,-74.2285188716711,-292.45589600146,3930.67906645966,51.2039147333328,29.5625939548531,46.8993015961718,70992.4361453044,4.47972250882022,-4.83343443921459
50000,50,298.306246821548,893.30321562645,-527.557325674465,-391.356159224911,3598.82313177873,51.2042819450185,29.5628059646188,46.899637937088,70993.9635347187,4.47962613047483,-4.83468145831693
51000,51,300.988925449696,29.793661850437,-1416.84963259895,-1320.24377184777,2826.47438999804,51.2200187233089,29.5718915978011,46.9140517551533,71059.440069954,4.47549845373146,-4.83356625857875
52000,52,300.468068099147,-128.991303205175,-1464.85443796796,-1562.70936400939,2640.58989236183,51.2242158090193,29.5743147863658,46.9178960000625,71076.9098214661,4.47439843621416,-4.83326328870349
53000,53,297.783646317484,-328.978706775984,-1565.30742756307,-1837.27703002857,2415.64833726369,51.2248208236398,29.5746640917199,46.918450152285,71079.428341868,4.47423989718239,-4.83397186075417
54000,54,304.101693240531,-399.182440173463,-1588.36941359201,-1812.35845831756,2203.18055138917,51.2300818080751,29.5777015224999,46.9232688560307,71101.3309762163,4.47286161580413,-4.83307529963168
55000,55,301.008969074562,-1424.72933637633,-2688.57477611542,-2739.90376528176,1154.29053226821,51.2439209868426,29.5856915760869,46.93594460206,71158.9680029646,4.46923870709948,-4.83365500722922
56000,56,300.049747227047,-1084.73864580196,-2737.00117238036,-2135.30974472044,1618.09497969493,51.2384646771296,29.5825413742056,46.9309469936516,71136.2399981102,4.47066662736956,-4.83358871304937
57000,57,303.194409909759,-24.0538256206375,-1493.75667164481,-1169.7944235171,2591.3896183,51.2216702796767,29.5728451243154,46.9155644684019,71066.3140886223,4.47506555299199,-4.8336052895728
58000,58,298.894223028103,547.33928766611,-934.72309531662,-681.910722240439,3258.65168055539,51.2123809514489,29.5674819281625,46.907056075861,71027.6563136312,4.4775011687253,-4.83367782348136
59000,59,299.538896414564,406.309062723355,-774.133148104429,-1108.16715909411,3101.22749536861,51.2144254725095,29.5686623329472,46.9089287180279,71036.1634363638,4.47696495378723,-4.83345865852372
