LAMMPS (22 Jul 2025 - Update 6)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

  using 1 OpenMP thread(s) per MPI task
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (51.095499 29.5 46.8)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  4000 atoms
  read_data CPU = 0.007 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6.8
  ghost atom cutoff = 6.8
  binsize = 6.8, bins = 8 5 7
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
  (2) pair meam/kk, perpetual, half/full from (1)
      attributes: half, newton on, kokkos_device
      pair build: halffull/newton/kk/device
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 12.83 | 12.83 | 12.83 Mbytes
   Step          Time         Atoms         Temp          Press           Pxx            Pyy            Pzz           PotEng           Lx             Ly             Lz           Volume        Density    
         0   0                   4000   300            705.47614     -336.89472     -410.73646      2864.0596     -19490.558      51.095499      29.5           46.8           70542.446      4.5082987    
      1000   1                   4000   312.3408       929.04095     -371.6711      -195.8533       3354.6473     -19333.084      51.206525      29.564101      46.901692      71003.293      4.4790375    
      2000   2                   4000   300.30881      189.7844      -852.78927     -1219.0838      2641.2263     -19335.908      51.218063      29.570763      46.912261      71051.301      4.4760111    
      3000   3                   4000   304.00122     -135.98467     -1605.588      -1419.6776      2617.3116     -19336.535      51.221598      29.572804      46.915499      71066.015      4.4750844    
      4000   4                   4000   303.77245     -401.79387     -1680.12       -1725.0587      2199.7971     -19334.592      51.226698      29.575748      46.920169      71087.241      4.4737482    
      5000   5                   4000   294.3656      -737.82545     -2048.7583     -2202.8436      2038.1256     -19333.614      51.232468      29.579079      46.925454      71111.266      4.4722367    
      6000   6                   4000   299.06907     -1717.9736     -2890.2314     -3156.1575      892.46812     -19330.632      51.251721      29.590195      46.943089      71191.466      4.4671985    
      7000   7                   4000   299.0689      -1241.6703     -2484.9573     -2679.1752      1439.1215     -19336.531      51.239248      29.582993      46.931664      71139.501      4.4704617    
      8000   8                   4000   300.37085     -441.1615      -1750.0587     -1731.0114      2157.5856     -19334.217      51.228132      29.576576      46.921483      71093.214      4.4733723    
      9000   9                   4000   297.27779      305.24177     -1081.9489     -961.38848      2959.0627     -19331.241      51.219021      29.571315      46.913138      71055.287      4.4757601    
     10000   10                  4000   292.11983      210.46493     -1319.5791     -1037.714       2988.6879     -19332.766      51.217967      29.570707      46.912172      71050.9        4.4760364    
     11000   11                  4000   306.67435     -79.16742      -1519.5387     -1324.3578      2606.3942     -19332.908      51.223798      29.574073      46.917513      71075.169      4.474508     
     12000   12                  4000   308.81414     -86.685636     -1450.5361     -1527.4044      2717.8837     -19335.325      51.22226       29.573186      46.916105      71068.77       4.4749109    
     13000   13                  4000   302.81458     -184.05414     -1389.8682     -1773.8292      2611.535      -19333.081      51.2249        29.57471       46.918523      71079.76       4.474219     
     14000   14                  4000   297.19749     -209.01738     -1496.5458     -1687.2152      2556.7088     -19332.953      51.224759      29.574628      46.918393      71079.17       4.4742562    
     15000   15                  4000   311.12801     -645.60311     -2007.9701     -2062.8829      2134.0437     -19334.944      51.232243      29.578949      46.925249      71110.331      4.4722955    
     16000   16                  4000   302.76123     -674.53206     -1835.1348     -2070.2163      1881.755      -19336.233      51.231276      29.578391      46.924362      71106.302      4.4725489    
     17000   17                  4000   301.75604     -592.67985     -1854.3092     -2074.2074      2150.4771     -19329.24       51.235036      29.580562      46.927806      71121.959      4.4715643    
     18000   18                  4000   296.4779       98.854968     -1430.7659     -1231.7517      2959.0825     -19336.085      51.218347      29.570926      46.912521      71052.483      4.4759367    
     19000   19                  4000   305.98953      703.16167     -875.03842     -503.9276       3488.451      -19335.14       51.210022      29.56612       46.904896      71017.843      4.4781199    
     20000   20                  4000   300.04983      478.50391     -694.32828     -1037.1819      3167.0219     -19336.409      51.212286      29.567427      46.90697       71027.263      4.477526     
     21000   21                  4000   308.69355      212.05962     -1025.5057     -1281.6887      2943.3733     -19331.649      51.220708      29.572289      46.914683      71062.308      4.4753178    
     22000   22                  4000   296.89801      65.091091     -1271.7426     -1390.101       2857.1168     -19335.331      51.218722      29.571143      46.912864      71054.045      4.4758383    
     23000   23                  4000   298.91055     -24.749934     -1185.815      -1482.8536      2594.4188     -19333.989      51.220915      29.572409      46.914873      71063.171      4.4752635    
     24000   24                  4000   299.54122     -320.90176     -1740.176      -1692.8971      2470.3678     -19336.17       51.225251      29.574913      46.918845      71081.221      4.4741271    
     25000   25                  4000   294.11218     -944.83495     -2291.3859     -2173.0711      1629.9522     -19332.555      51.237262      29.581847      46.929845      71131.231      4.4709814    
     26000   26                  4000   306.121       -1387.9467     -2699.8654     -2825.7845      1361.8098     -19332.807      51.244263      29.585889      46.936258      71160.394      4.4691491    
     27000   27                  4000   307.7338      -810.24361     -2006.9912     -2209.2255      1785.4858     -19337.082      51.233463      29.579653      46.926365      71115.408      4.4719762    
     28000   28                  4000   293.9255       179.02223     -1169.5882     -1257.596       2964.251      -19332.635      51.218817      29.571198      46.912951      71054.438      4.4758135    
     29000   29                  4000   302.62791      279.36171     -1355.0373     -831.05472      3024.1771     -19331.641      51.21846       29.570992      46.912624      71052.954      4.475907     
     30000   30                  4000   300.63409      307.14808     -1261.6659     -845.5937       3028.7038     -19336.266      51.214485      29.568697      46.908983      71036.411      4.4769494    
     31000   31                  4000   302.3938       395.60148     -1352.9576     -585.88109      3125.6431     -19334.283      51.214378      29.568635      46.908885      71035.967      4.4769774    
     32000   32                  4000   295.25152      478.01212     -1204.8075     -643.08811      3281.932      -19335.36       51.211983      29.567252      46.906691      71025.999      4.4776057    
     33000   33                  4000   303.12945     -632.86142     -1890.6589     -2062.2908      2054.3654     -19333.022      51.232346      29.579008      46.925342      71110.757      4.4722687    
     34000   34                  4000   298.46352     -1085.5681     -2228.0975     -2667.8474      1639.2405     -19337.233      51.23572       29.580956      46.928433      71124.807      4.4713853    
     35000   35                  4000   298.24899     -748.83754     -2052.2761     -2185.3702      1991.1337     -19333.875      51.231336      29.578426      46.924418      71106.554      4.4725331    
     36000   36                  4000   298.44544     -215.16409     -1771.7097     -1465.4024      2591.6199     -19333.956      51.225301      29.574942      46.91889       71081.429      4.474114     
     37000   37                  4000   310.02281      115.91165     -1503.2677     -983.7267       2834.7293     -19336.273      51.219604      29.571652      46.913672      71057.714      4.4756071    
     38000   38                  4000   299.3665       1796.0819      280.93961      571.60035      4535.7057     -19335.05       51.191133      29.555214      46.887594      70939.285      4.483079     
     39000   39                  4000   299.38027      1755.5476      372.61986      186.56461      4707.4584     -19335.56       51.192339      29.555911      46.888699      70944.299      4.4827621    
     40000   40                  4000   303.44512      614.76198     -519.18414     -1035.2051      3398.6751     -19333.351      51.212605      29.567611      46.907261      71028.588      4.4774424    
     41000   41                  4000   297.01834      262.10612     -1008.938      -1224.4663      3019.7226     -19334.325      51.216694      29.569972      46.911007      71045.605      4.47637      
     42000   42                  4000   302.79639     -233.9123      -1690.8594     -1489.6101      2478.7326     -19332.098      51.227508      29.576216      46.920912      71090.616      4.4735358    
     43000   43                  4000   305.56734     -1129.1773     -2692.3714     -2277.3542      1582.1938     -19332.891      51.241433      29.584255      46.933666      71148.605      4.4698896    
     44000   44                  4000   304.59303     -1884.8183     -3383.7286     -2997.5966      726.87039     -19334.521      51.25122       29.589906      46.94263       71189.381      4.4673294    
     45000   45                  4000   297.20626     -1034.7222     -2577.3835     -2239.7365      1712.9534     -19335.52       51.235193      29.580652      46.92795       71122.613      4.4715232    
     46000   46                  4000   296.65124     -126.10833     -1309.0835     -1644.2087      2574.9672     -19334.6        51.221916      29.572987      46.915789      71067.335      4.4750013    
     47000   47                  4000   301.31137      532.47263     -836.82378     -974.61956      3408.8612     -19331.647      51.215096      29.56905       46.909543      71038.954      4.4767891    
     48000   48                  4000   302.42593      990.30003     -273.17199     -551.80046      3795.8726     -19335.734      51.204652      29.56302       46.899977      70995.503      4.479529     
     49000   49                  4000   302.62746      1187.9982     -74.228519     -292.4559       3930.6791     -19333.738      51.203915      29.562594      46.899302      70992.436      4.4797225    
     50000   50                  4000   298.30625      893.30322     -527.55733     -391.35616      3598.8231     -19338.726      51.204282      29.562806      46.899638      70993.964      4.4796261    
