step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
0,0.0,1.51467611152518e-16,0.309615864096491,-0.10641975236717,-0.0951391720682244,300.416446967837,-4.83334084044918,102.432368221444,59.1393553663814,93.8210790219212,568347.852496618,4.47650378561446,0.3569746814441086
100,0.1,0.0001,0.437381441158536,0.101928038314627,0.0875436043249349,303.264639750653,-4.83387224325468,102.343000956718,59.0958679262786,93.811696914019,567377.689774786,4.48415818792039,0.3726147332981187
200,0.2,0.0002000000000002,0.337341530140231,-0.103300832746998,-0.0936117325479273,299.495540286712,-4.83376305111604,102.433673217638,59.1390781068841,93.8023148061168,568238.758220785,4.47736321473944,0.3880722245716461
300,0.3,0.0003000000000001,0.464246573659066,0.091088164160236,0.0841357936863172,300.845849857817,-4.8339398955383,102.356004587233,59.0968000351249,93.7929326982146,567345.22757964,4.48441476118669,0.40335428732314765
400,0.4,0.0004,0.370584691828841,-0.0809883964421765,-0.0795096251366083,298.827215794777,-4.83359775291652,102.433903559665,59.1413315347581,93.7835505903124,568148.013089157,4.47807834337653,0.41846805361108036
500,0.5,0.0005,0.479680329930006,0.0727045499418055,0.0752251412681734,301.356193170006,-4.83372009265158,102.376167513221,59.1022498750333,93.7741684824102,567395.78221547,4.48401520242671,0.4334206554939012
600,0.6,0.0006000000000002,0.411323893749578,-0.069236481371393,-0.0660541785031303,300.861066060636,-4.83352668127452,102.438739551633,59.1388512252831,93.764786374508,568037.331666221,4.47895089180853,0.4482192250300671
700,0.7,0.0007000000000001,0.505563733259543,0.0666291691858633,0.0548134605824917,301.203722501397,-4.83324091621156,102.384962075485,59.1141596604094,93.7554042666058,567445.30206563,4.48362389112299,0.46287089427803507
800,0.8,0.0008,0.448483149573641,-0.0472079001757951,-0.0493461201391361,300.634666432767,-4.83317726924519,102.439574378086,59.1403500087383,93.7460221587037,567942.67757017,4.47969735983192,0.477382795296262
900,0.9,0.0009000000000002,0.515549464916963,0.0389002174326449,0.0527958522622587,299.970856295194,-4.83352163861258,102.40419678818,59.1165729783002,93.7366400508014,567461.481679442,4.48349605283726,0.49176206014320484
1000,1.0,0.0010000000000001,0.484006442058058,-0.029424508124187,-0.0357976250471302,299.3448423738,-4.83365205930146,102.424084137915,59.1436887867243,93.7272579428993,567775.186746516,4.48101884801603,0.5060158208773207
1100,1.1,0.0011,0.536940630849744,0.0276280162121614,0.0300880479695562,299.943546974723,-4.83375692565807,102.406236045732,59.1270873440351,93.7178758349971,567460.094673935,4.48350701155273,0.5201512095570662
1200,1.2,0.0012000000000002,0.515540712393129,-0.0254826019414119,-0.012989846110069,300.265097732378,-4.83371229061748,102.441254749427,59.1352237774068,93.7084937270949,567675.421300507,4.48180635937759,0.5341753582408987
1300,1.3,0.0013000000000001,0.55389416657779,0.0248565314599707,0.0157215121543365,301.975302928188,-4.83358952732958,102.414059899466,59.1379711909606,93.6991116191927,567494.265596509,4.48323704306099,0.5480953989872749
1400,1.4,0.0014000000000001,0.551102551964018,-0.0071077602214173,-0.0179539310224499,301.720863855036,-4.83336740994014,102.43164412824,59.1488099879058,93.6897295112905,567638.887529513,4.48209481263681,0.5619184638546518
1500,1.5,0.0015,0.579702514565421,-0.0063669511892616,0.0157432844080539,302.227930658299,-4.83370299189457,102.44567633771,59.1311719448706,93.6803474033883,567490.522786291,4.48326661167006,0.5756516849014864
