frame,timestep,strain,other_fraction,fcc_fraction,hcp_fraction,bcc_fraction,mean_ptm_rmsd
0,0,0.0,0.0,0.0,1.0,0.0,0.038575127356821046
1,10000,0.010000000000000045,0.0,0.0,1.0,0.0,0.04033725849934843
2,20000,0.02000000000000009,0.0,0.0,1.0,0.0,0.04330258660656888
3,30000,0.030000000000000138,0.0,0.0,1.0,0.0,0.047019978208754976
4,40000,0.039999999999999876,0.0,0.0,1.0,0.0,0.051128813315629816
5,50000,0.049999999999999926,0.0,0.0,1.0,0.0,0.0557939252634997
6,60000,0.05999999999999997,0.0,0.0,1.0,0.0,0.06090466452255976
7,70000,0.07000000000000002,0.0,0.0,1.0,0.0,0.0664224336241698
8,80000,0.08000000000000006,0.0,0.0,1.0,0.0,0.07218181603178005
9,90000,0.09000000000000011,0.0,0.0,1.0,0.0,0.0779890585446136
10,100000,0.09999999999999985,0.0,0.0,1.0,0.0,0.08425688839088702
11,105000,0.10499999999999987,0.0,0.0,1.0,0.0,0.08731741261606936
12,110000,0.10999999999999989,0.0,0.0,1.0,0.0,0.09062469974952775
13,115000,0.11499999999999992,0.0,0.0,1.0,0.0,0.09391231549900882
14,120000,0.11999999999999994,0.0,0.0,1.0,0.0,0.09720746377398543
15,122000,0.12199999999999994,0.0,0.0,1.0,0.0,0.09859332994520537
16,124000,0.12399999999999996,0.0,0.0,1.0,0.0,0.09996031777046016
17,126000,0.12599999999999997,0.0,0.0,1.0,0.0,0.10139779382534649
18,128000,0.12799999999999997,0.0,0.0,1.0,0.0,0.10258323493836104
19,130000,0.12999999999999998,0.0,0.0,1.0,0.0,0.10406164557042129
20,132000,0.132,0.0,0.0,1.0,0.0,0.10545640749368088
21,134000,0.134,0.0,0.0,1.0,0.0,0.10685102199727486
22,136000,0.136,0.0,0.0,1.0,0.0,0.10822972702377694
23,138000,0.138,3.125e-05,0.0,0.99996875,0.0,0.1096221256045954
24,140000,0.14000000000000004,3.125e-05,0.0,0.99996875,0.0,0.11107669752969974
25,142000,0.14200000000000004,0.000125,0.0,0.999875,0.0,0.11248429396835681
26,144000,0.14400000000000004,0.00015625,0.0,0.99984375,0.0,0.11395421051925307
27,146000,0.14600000000000005,0.00015625,0.0,0.99984375,0.0,0.11532177206257058
28,148000,0.14800000000000008,0.00065625,0.0,0.99934375,0.0,0.11676719310016444
29,150000,0.15000000000000008,0.00203125,0.0,0.99796875,0.0,0.11829149376768007
30,152000,0.15200000000000008,0.0023125,0.0,0.9976875,0.0,0.11982199871277388
31,154000,0.15400000000000008,0.01265625,0.0,0.98734375,0.0,0.12170654522139444
32,156000,0.1560000000000001,0.08196875,0.0,0.91803125,0.0,0.12379584766909778
33,158000,0.1580000000000001,0.31565625,0.0056875,0.66934375,0.0093125,0.12678252294092934
34,160000,0.15999999999999998,0.32084375,0.02571875,0.61778125,0.03565625,0.11844541204209127
35,162000,0.16199999999999998,0.30025,0.02903125,0.6350625,0.03565625,0.11340172724124897
36,164000,0.16399999999999998,0.28778125,0.027125,0.6461875,0.03890625,0.11054830933461764
37,166000,0.166,0.2751875,0.02725,0.6591875,0.038375,0.10815726966608927
38,168000,0.16799999999999984,0.26015625,0.02959375,0.671875,0.038375,0.10553567341976626
39,170000,0.16999999999999987,0.2523125,0.02971875,0.6783125,0.03965625,0.10418945658545098
40,172000,0.17199999999999988,0.24178125,0.034125,0.684625,0.03946875,0.10213082673899475
41,174000,0.17399999999999988,0.2314375,0.0364375,0.69378125,0.03834375,0.10004095072980675
42,176000,0.17599999999999988,0.22859375,0.03628125,0.69996875,0.03515625,0.0994309428343662
43,178000,0.1779999999999999,0.22375,0.0379375,0.70115625,0.03715625,0.09905956656078681
44,180000,0.1799999999999999,0.2219375,0.03421875,0.70984375,0.034,0.09853968016604663
45,190000,0.18999999999999995,0.2103125,0.03340625,0.71425,0.04203125,0.09792443728941172
46,200000,0.2,0.19640625,0.03784375,0.72040625,0.04534375,0.09530008443215086
47,210000,0.21000000000000005,0.19871875,0.03790625,0.7231875,0.0401875,0.09616367357419961
48,220000,0.21999999999999995,0.199125,0.03378125,0.7325625,0.03453125,0.09553094730203542
49,230000,0.22999999999999998,0.19578125,0.02896875,0.74275,0.0325,0.09387851286034475
50,240000,0.23999999999999988,0.17215625,0.0291875,0.769375,0.02928125,0.0903262646626195
51,250000,0.24999999999999992,0.16384375,0.02659375,0.77846875,0.03109375,0.08946398672039226
