frame,timestep,strain,n_sample,case,label,soap_distance_from_ref
0,0,0.0,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.0
1,10000,0.01,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.003957101990365438
2,20000,0.02,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.008794862267451018
3,30000,0.0300000000000001,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.012570976370262029
4,40000,0.0399999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.01655453392872667
5,50000,0.0499999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.020852819112801103
6,60000,0.0599999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.025630450454887082
7,70000,0.07,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.029719947120783363
8,80000,0.08,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.03475850268885658
9,90000,0.0900000000000001,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.040135535443434164
10,100000,0.0999999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.04523467731504741
11,105000,0.1049999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.04815188023591183
12,110000,0.1099999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.05079811030239653
13,115000,0.1149999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.05372339836316413
14,120000,0.1199999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.05698622854651441
15,122000,0.1219999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.057943846430485536
16,124000,0.1239999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.05899698100312633
17,126000,0.1259999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.05995206567486395
18,128000,0.1279999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.061663933002676294
19,130000,0.1299999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06281175393674854
20,132000,0.132,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06426292073263591
21,134000,0.134,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06568104200647044
22,136000,0.136,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06691507699662487
23,138000,0.138,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06823658476892469
24,140000,0.14,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.06960312313070373
25,142000,0.142,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07041447477812775
26,144000,0.144,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07245940515995601
27,146000,0.146,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07343789872735908
28,148000,0.148,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07474560482297499
29,150000,0.15,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07616670362692815
30,152000,0.152,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.0771817173296308
31,154000,0.154,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.0785049296624993
32,156000,0.1560000000000001,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.07735066240368878
33,158000,0.1580000000000001,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.04143512690914746
34,160000,0.1599999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.01996550851878005
35,162000,0.1619999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.01679673769659531
36,164000,0.1639999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015395466580056808
37,166000,0.166,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015300921461410254
38,168000,0.1679999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015025039020770244
39,170000,0.1699999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.014712542960350258
40,172000,0.1719999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.013346033084144025
41,174000,0.1739999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.012647461056380267
42,176000,0.1759999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.01331122303245307
43,178000,0.1779999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.012958223113492701
44,180000,0.1799999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.013831168455552633
45,190000,0.1899999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.013956303088210503
46,200000,0.2,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.013420258589168326
47,210000,0.21,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015062516291234505
48,220000,0.2199999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015457017603922507
49,230000,0.2299999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.01573033883272504
50,240000,0.2399999999999998,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.015629090326181358
51,250000,0.2499999999999999,1000,32k_1e9,"Ti 32k, 1e9 s^-1",0.016324034770755853
