case,atoms,strain_rate_s^-1,elastic_modulus_GPa_2-10%,yield_strain_%,yield_stress_GPa,stress_drop_GPa_next_3%,flow_stress_mean_GPa_20-25%,flow_stress_std_GPa_20-25%,smoothing_method,smoothing_target_%,smoothing_points,smoothing_effective_span_%
"Ti 4k, 1e9 s^-1",4000,1000000000.0,126.97070395466083,15.010000000000002,16.616262929034217,14.443407936093578,5.346213100761091,1.005562829437861,Savitzky-Golay,0.5,51,0.5000000000000013
"Ti 32k, 1e9 s^-1",32000,1000000000.0,127.00400270999624,15.09,16.60916485267581,13.502101909012296,4.8467950558359645,0.22750540170100766,Savitzky-Golay,0.5,51,0.49999999999994493
"Ti 108k, 1e9 s^-1",108000,1000000000.0,127.05225381575583,15.1899999999999,16.615014471873675,13.919160885427557,4.695712595058225,0.5194383634815671,Savitzky-Golay,0.5,51,0.49999999999994493
"Ti 108k, 1e10 s^-1",108000,10000000000.0,127.25068107944062,15.399999999999899,16.76656546840634,11.198381255016463,3.8051641225740838,0.27105638092263884,Savitzky-Golay,0.5,5,0.40000000000000036
