case,PTM_HCP_loss_onset_%_HCP<99%,minimum_HCP_%,strain_at_min_HCP_%,HCP_at_25%_%,FCC_at_25%_%,BCC_at_25%_%,Other_at_25%_%,PTM_RMSD_cutoff
"Ti 4k, 1e9 s^-1",15.400000000000011,57.599999999999994,16.0,84.425,0.8999999999999999,0.325,14.35,0.15
"Ti 32k, 1e9 s^-1",15.4,61.778124999999996,15.99999999999999,77.84687500000001,2.659375,3.109375,16.384375000000002,0.15
"Ti 108k, 1e9 s^-1",15.4,62.1287037037037,16.000000000000007,77.81944444444444,2.62592592592592,2.59351851851851,16.96111111111111,0.15
"Ti 108k, 1e10 s^-1",15.799999999999988,35.23703703703704,25.0,35.23703703703704,2.9314814814814802,3.4185185185185105,58.412962962962965,0.15
