case,atoms,strain_rate_s^-1,elastic_modulus_GPa_2-10%,yield_strain_%,yield_stress_GPa,flow_stress_mean_GPa_20-25%
"Ti 4k, 1e9 s^-1",4000,1000000000.0,126.97070395466083,15.010000000000002,16.616262929034217,5.346213100761091
"Ti 32k, 1e9 s^-1",32000,1000000000.0,127.00400270999624,15.09,16.60916485267581,4.8467950558359645
"Ti 108k, 1e9 s^-1",108000,1000000000.0,127.05225381575583,15.1899999999999,16.615014471873675,4.695712595058225
"Ti 108k, 1e10 s^-1",108000,10000000000.0,127.25068107944062,15.399999999999899,16.76656546840634,3.8051641225740838
