case,SOAP_distance_at_10%,SOAP_distance_at_15%,SOAP_distance_at_16%,SOAP_distance_at_25%
"Ti 4k, 1e9 s^-1",0.0451433559232379,0.0761790265025865,0.0204132291901719,0.0207407735193447
"Ti 32k, 1e9 s^-1",0.0452346773150474,0.0761667036269281,0.01996550851878,0.0163240347707558
"Ti 108k, 1e9 s^-1",0.04513631914806,0.0762578379056318,0.0174738083368947,0.0162172559971631
"Ti 108k, 1e10 s^-1",0.0451991826706528,0.0764155488044695,0.0830746534023398,0.0239056418649215
