case,T_mean_K_final20ps,T_std_K,P_hydro_mean_bar,P_hydro_std_bar,Pxx_mean_bar,Pyy_mean_bar,Pzz_mean_bar
"Ti 4k, 1e9 s^-1",301.3670155835232,4.107942009913396,262.7794308337528,639.125496672772,-1108.5251156793722,-1145.7271690661526,3042.5905772467827
"Ti 32k, 1e9 s^-1",299.65111064253966,1.3261737997637921,37.49595108792139,371.6017799681181,-1336.342003454406,-1313.1197301608263,2761.9495868789973
"Ti 108k, 1e9 s^-1",300.13857756656665,0.6467045072339979,0.29876817041674725,120.09050194952137,-1362.1842154568124,-1350.4451421227068,2713.52566209077
"Ti 108k, 1e10 s^-1",299.8803009400829,0.6490780508484493,-14.32916734660354,130.00118647184397,-1383.2254631525934,-1363.5527824940048,2703.7907436067862
